基金碼,年月日,基金統編,公會基金類型,幣別,淨值(元),淨值變動率%-週
T2121F 柏瑞中國平衡BC,2018/11/02,38651312F,跨國平衡-中國,CNY,9.1776,2.355661
T2121G 柏瑞中國平衡N,2018/11/02,38651312G,跨國平衡-中國,TWD,10.0744,1.647055
T2121H 柏瑞中國平衡NC,2018/11/02,38651312H,跨國平衡-中國,CNY,10.5966,2.356084
T2121L 柏瑞中國平衡N$,2018/11/02,38651312K,跨國平衡-中國,USD,10.5535,2.344054
T2206Y 復華傳家,2018/11/02,17138818,平衡--一般股票型,TWD,19.4906,5.912209
T2209Y 復華傳家二號,2018/11/02,18035945,平衡--一般股票型,TWD,27.9555,2.713377
T2212Y 復華人生目標,2018/11/02,15742001,平衡--一般股票型,TWD,35.0874,3.523725
T2213A 復華全球平衡 USD,2018/11/02,99034755B,跨國平衡-全球型,USD,8.95,3.34873
T2213Y 復華全球平衡,2018/11/02,99034755A,跨國平衡-全球型,TWD,19,2.536428
T2214Y 復華神盾,2018/11/02,99607599,平衡--一般股票型,TWD,22.6987,3.32291
T2217Y 復華亞太平衡,2018/11/02,48733658,跨國平衡-亞洲,TWD,11.28,3.486239
T2291A 復華中新經濟平衡,2018/11/02,42303499A,跨國平衡-中國,TWD,9.51,2.368137
T2291B 復華中新經濟平AC,2018/11/02,42303499B,跨國平衡-中國,CNY,10.93,2.054155
T2291C 復華中新經濟平BC,2018/11/02,42303499C,跨國平衡-中國,CNY,9.99,2.0429
T2507Y 永豐趨勢平衡,2018/11/02,14706582,平衡--一般股票型,TWD,38.17,4.575342
T2624A 中信入息平衡A,2018/11/02,38530388A,跨國平衡-全球型,TWD,10.1678,0.832019
T2624B 中信入息平衡B,2018/11/02,38530388B,跨國平衡-全球型,TWD,8.8097,0.832094
T2630A 中信亞太多元息A,2018/11/02,42329152A,跨國平衡-亞洲,TWD,10.5885,1.347665
T2630B 中信亞太多元息B,2018/11/02,42329152B,跨國平衡-亞洲,TWD,9.4739,1.347897
T2639A 中信樂齡收益平A,2018/11/02,42443702A,跨國平衡-全球型,TWD,10.76,0.749064
T2639B 中信樂齡收益平B,2018/11/02,42443702B,跨國平衡-全球型,TWD,10.37,0.777455
T2639C 中信樂齡收益平A$,2018/11/02,42443702C,跨國平衡-全球型,USD,10.94,1.672862
T2639D 中信樂齡收益平B$,2018/11/02,42443702D,跨國平衡-全球型,USD,10.61,1.725792
T3204Y 野村平衡,2018/11/02,17602250,平衡--一般股票型,TWD,17.37,3.33135
T3221Y 野村鴻利,2018/11/02,00971103,平衡--一般股票型,TWD,20,5.097214
T3295A 野村多元收益平A,2018/11/02,42391084A,跨國平衡-全球型,TWD,10.0291,0.310059
T3295B 野村多元收益平B,2018/11/02,42391084B,跨國平衡-全球型,TWD,8.5303,0.30101
T3295C 野村多元收益平A$,2018/11/02,42391084C,跨國平衡-全球型,USD,10.4444,0.829271
T3295D 野村多元收益平B$,2018/11/02,42391084D,跨國平衡-全球型,USD,8.9425,0.827592
T3295E 野村多元收益平AC,2018/11/02,42391084E,跨國平衡-全球型,CNY,10.9667,0.780201
T3295F 野村多元收益平BC,2018/11/02,42391084F,跨國平衡-全球型,CNY,9.1852,0.782321
T3308Y 聯邦金鑽平衡,2018/11/02,98669575,平衡--一般股票型,TWD,19.8431,0.362137
T3328A 聯邦太平洋平衡A,2018/11/02,38546327A,跨國平衡-亞洲,TWD,11.2792,0.279166
T3328B 聯邦太平洋平衡B,2018/11/02,38546327B,跨國平衡-亞洲,TWD,10.8064,0.278386
T3328C 聯邦太平洋平衡AC,2018/11/02,38546327C,跨國平衡-亞洲,CNY,11.7402,0.584304
T3341A 聯邦全視界平衡A,2018/11/02,42449712A,跨國平衡-全球型,TWD,9.8485,-0.394438
T3341B 聯邦全視界平衡B,2018/11/02,42449712B,跨國平衡-全球型,TWD,9.2834,-0.394842
T3341C 聯邦全視界平衡AC,2018/11/02,42449712C,跨國平衡-全球型,CNY,10.9025,0.440361
T3341D 聯邦全視界平衡BC,2018/11/02,42449712D,跨國平衡-全球型,CNY,10.2898,0.440228
T3341E 聯邦全視界平衡A$,2018/11/02,42449712E,跨國平衡-全球型,USD,10.6677,0.399048
T3341F 聯邦全視界平衡B$,2018/11/02,42449712F,跨國平衡-全球型,USD,10.0527,0.399492
T3743A 國泰全多重平衡 A,2018/11/02,38582842A,跨國平衡-全球型,TWD,10.62,0.283286
T3743B 國泰全多重平衡 B,2018/11/02,38582842B,跨國平衡-全球型,TWD,9.41,0.345816
T3743C 國泰全多重平衡A$,2018/11/02,38582842C,跨國平衡-全球型,USD,0.3983,0.860977
T3743D 國泰全多重平衡B$,2018/11/02,38582842D,跨國平衡-全球型,USD,0.3583,0.864317
T3743E 國泰全多重平衡I$,2018/11/02,38582842E,跨國平衡-全球型,USD,0.4233,0.90584
T3743F 國泰全多重平衡AA,2018/11/02,38582842F,跨國平衡-全球型,AUD,0.5013,-0.436942
T3769A 國泰亞太息平衡A,2018/11/02,42331684A,跨國平衡-亞洲,TWD,10.7555,3.460051
T3769B 國泰亞太息平衡B,2018/11/02,42331684B,跨國平衡-亞洲,TWD,9.5519,3.459852
T3769C 國泰亞太息平衡A$,2018/11/02,42331684C,跨國平衡-亞洲,USD,0.35,4.228708
T3769D 國泰亞太息平衡B$,2018/11/02,42331684D,跨國平衡-亞洲,USD,0.3108,4.20218
T3769E 國泰亞太息平衡AC,2018/11/02,42331684E,跨國平衡-亞洲,CNY,2.4047,3.312424
T3769F 國泰亞太息平衡AA,2018/11/02,42331684F,跨國平衡-亞洲,AUD,0.4865,2.89763
T4126A 凱基全高效平衡A,2018/11/02,42453588A,跨國平衡-全球型,TWD,10.12,0.998004
T4126B 凱基全高效平衡B,2018/11/02,42453588B,跨國平衡-全球型,TWD,9.51,0.955414
T4126C 凱基全高效平衡A$,2018/11/02,42453588C,跨國平衡-全球型,USD,10.4145,1.864259
T4332Y 華頓中國機會平衡,2018/11/02,38634406,跨國平衡-中國,TWD,11.1726,1.02539
T4519A 富蘭亞太平衡A,2018/11/02,42407614A,跨國平衡-亞洲,TWD,9.74,2.418507
T4519B 富蘭亞太平衡B,2018/11/02,42407614B,跨國平衡-亞洲,TWD,8.98,2.392548
T4519C 富蘭亞太平衡A$,2018/11/02,42407614C,跨國平衡-亞洲,USD,10.05,2.865916
T4519D 富蘭亞太平衡B$,2018/11/02,42407614D,跨國平衡-亞洲,USD,9.25,2.912978
T4519E 富蘭亞太平衡BC,2018/11/02,42407614E,跨國平衡-亞洲,CNY,9.31,3.097277
T4703Y 台新高股息平衡,2018/11/02,21719942,平衡--一般股票型,TWD,27.1621,4.42945
T0105Y 兆豐國際萬全,2018/10/26,00971976,平衡--一般股票型,TWD,18.1,-2.792696
T0121A 兆豐大中華平衡,2018/10/26,42334401A,跨國平衡-亞洲,TWD,8.78,-0.678733
T0121B 兆豐大中華平衡 $,2018/10/26,42334401B,跨國平衡-亞洲,USD,9.37,-0.636267
T0121C 兆豐大中華平衡 C,2018/10/26,42334401C,跨國平衡-亞洲,CNY,10.05,-0.495049
T0320Y 第一金中概平衡,2018/10/26,99353151,平衡--一般股票型,TWD,21.76,-2.290076
T0343A 第一金全球多息 A,2018/10/26,38539992A,跨國平衡-全球型,TWD,9.847,-2.226149
T0343B 第一金全球多息 B,2018/10/26,38539992B,跨國平衡-全球型,TWD,8.2761,-2.226921
T0405Y 匯豐安富,2018/10/26,00971080,平衡--一般股票型,TWD,23.76,-2.543068
T0458A 匯豐中多息平Aa,2018/10/26,38647535A,跨國平衡-中國,TWD,9.8409,0.11496
T0458B 匯豐中多息平Bd,2018/10/26,38647535B,跨國平衡-中國,TWD,8.8406,0.11551
T0458C 匯豐中多息平AaC,2018/10/26,38647535C,跨國平衡-中國,CNY,11.1001,0.280966
T0458D 匯豐中多息平BdC,2018/10/26,38647535D,跨國平衡-中國,CNY,10.0665,0.313901
T0458E 匯豐中多息平Aa$,2018/10/26,38647535E,跨國平衡-中國,USD,9.9892,0.018023
T0458F 匯豐中多息平Bd$,2018/10/26,38647535F,跨國平衡-中國,USD,8.9941,-0.002224
T0479A 匯亞exJP多息平 A,2018/10/26,42443317A,跨國平衡-亞洲,TWD,10.17,-1.357905
T0479B 匯亞exJP多息Bd,2018/10/26,42443317B,跨國平衡-亞洲,TWD,9.81,-1.407035
T0479C 匯亞exJP多息BdC,2018/10/26,42443317C,跨國平衡-亞洲,CNY,10.56,-1.492537
T0479D 匯亞exJP多息平A$,2018/10/26,42443317D,跨國平衡-亞洲,USD,10.77,-1.373628
T0479E 匯亞exJP多息Bd$,2018/10/26,42443317E,跨國平衡-亞洲,USD,10.38,-1.424502
T0479F 匯亞exJP多息BdA,2018/10/26,42443317F,跨國平衡-亞洲,AUD,10.29,-1.625239
T0591A 元大中平衡 CNY,2018/10/26,31830473B,跨國平衡-中國,CNY,2.81,-0.35461
T0591Y 元大中平衡 NTD,2018/10/26,31830473A,跨國平衡-中國,TWD,12.47,-0.558214
T05A2A 元大新東協平衡,2018/10/26,42403764A,跨國平衡-亞洲,TWD,8.65,-1.480639
T05A2B 元大新東協平衡 $,2018/10/26,42403764B,跨國平衡-亞洲,USD,8.825,-1.649394
T05A3A 元大大中華豐平,2018/10/26,42451239A,跨國平衡-亞洲,TWD,9.13,-0.51215
T05A3B 元大大中華豐平 C,2018/10/26,42451239B,跨國平衡-亞洲,CNY,9.545,-0.292489
T0717Y 瀚亞理財通,2018/10/26,18036769,平衡--一般股票型,TWD,25.14,-2.558141
T0747A 瀚亞亞太豐平衡 A,2018/10/26,38621330A,跨國平衡-亞洲,TWD,10.1809,-1.350736
T0747B 瀚亞亞太豐平衡 B,2018/10/26,38621330B,跨國平衡-亞洲,TWD,8.4031,-1.350067
T0747C 瀚亞亞太豐平衡A$,2018/10/26,38621330C,跨國平衡-亞洲,USD,10.3394,-1.404637
T0747D 瀚亞亞太豐平衡B$,2018/10/26,38621330D,跨國平衡-亞洲,USD,8.5458,-1.406371
T0747E 瀚亞亞太豐平衡AA,2018/10/26,38621330E,跨國平衡-亞洲,AUD,11.5501,-0.548486
T0747F 瀚亞亞太豐平衡BA,2018/10/26,38621330F,跨國平衡-亞洲,AUD,8.9438,-0.52497
T0747G 瀚亞亞太豐平衡AZ,2018/10/26,38621330G,跨國平衡-亞洲,ZAR,13.1012,-1.014696
T0747H 瀚亞亞太豐平衡BZ,2018/10/26,38621330H,跨國平衡-亞洲,ZAR,9.473,-1.178802
T0747J 瀚亞亞太豐平衡AC,2018/10/26,38621330I,跨國平衡-亞洲,CNY,11.4044,-1.311018
T0747K 瀚亞亞太豐平衡BC,2018/10/26,38621330J,跨國平衡-亞洲,CNY,8.7213,-1.312618
T0754A 瀚亞印策收平衡A,2018/10/26,42481830A,跨國平衡-單一國,TWD,8.98,-0.000001
T0754B 瀚亞印策收平衡B,2018/10/26,42481830B,跨國平衡-單一國,TWD,8.37,0.119616
T0754C 瀚亞印策收平衡B$,2018/10/26,42481830C,跨國平衡-單一國,USD,8.15,-0.12255
T0754D 瀚亞印策收平衡BC,2018/10/26,42481830D,跨國平衡-單一國,CNY,8.51,0.117647
T0754E 瀚亞印策收平衡S,2018/10/26,42481830E,跨國平衡-單一國,TWD,8.37,0
T0754F 瀚亞印策收平衡S$,2018/10/26,42481830F,跨國平衡-單一國,USD,8.19,-0.121951
T0754G 瀚亞印策收平衡SC,2018/10/26,42481830G,跨國平衡-單一國,CNY,8.46,0.118342
T0814Y 保德信金平衡,2018/10/26,18044064,平衡--價值股票型,TWD,27.64,-2.8471
T0890A 保德信中國好平A,2018/10/26,42330171A,跨國平衡-中國,TWD,9.7833,0.121785
T0890B 保德信中國好平B,2018/10/26,42330171B,跨國平衡-中國,TWD,9.0156,0.12216
T0890C 保德信中國好平B$,2018/10/26,42330171C,跨國平衡-中國,USD,8.9704,0.150722
T0890D 保德信中國好平BC,2018/10/26,42330171D,跨國平衡-中國,CNY,8.8847,0.098018
T1114Y 摩根平衡,2018/10/26,18036846,平衡--價值股票型,TWD,25.98,-3.348214
T1117Y 摩根全球平衡,2018/10/26,99181637,跨國平衡-全球型,TWD,14.4025,-0.934084
T1120A 摩根亞高息平衡 A,2018/10/26,21704027A,跨國平衡-亞洲,TWD,12.8789,-1.910173
T1120B 摩根亞高息平衡 B,2018/10/26,21704027B,跨國平衡-亞洲,TWD,9.968,-1.910038
T1148A 摩根新興雙利A,2018/10/26,42299565A,跨國平衡-新興市,TWD,9.4656,-1.835604
T1148B 摩根新興雙利B,2018/10/26,42299565B,跨國平衡-新興市,TWD,8.1959,-1.837279
T1148C 摩根新興雙利B$,2018/10/26,42299565C,跨國平衡-新興市,USD,8.3357,-1.896008
T1148D 摩根新興雙利BC,2018/10/26,42299565D,跨國平衡-新興市,CNY,8.8735,-1.878718
T1150A 摩根中國雙息平A,2018/10/26,42319892A,跨國平衡-中國,TWD,11.921,-0.699709
T1150B 摩根中國雙息平B,2018/10/26,42319892B,跨國平衡-中國,TWD,10.5487,-0.699427
T1150C 摩根中國雙息平AC,2018/10/26,42319892C,跨國平衡-中國,CNY,13.7569,-0.542944
T1150D 摩根中國雙息平BC,2018/10/26,42319892D,跨國平衡-中國,CNY,11.7367,-0.544869
T1150E 摩根中國雙息平B$,2018/10/26,42319892E,跨國平衡-中國,USD,8.9153,-0.739282
T1207Y 華南永昌龍盈平衡,2018/10/26,18477625,平衡--價值股票型,TWD,20.9072,-4.831874
T1239A 華南多重息平衡 A,2018/10/26,38618790A,跨國平衡-全球型,TWD,12.1,-4.347827
T1239B 華南多重息平衡 B,2018/10/26,38618790B,跨國平衡-全球型,TWD,10.06,-4.372624
T1239C 華南多重息平衡A$,2018/10/26,38618790C,跨國平衡-全球型,USD,12.13,-4.563338
T1239D 華南多重息平衡B$,2018/10/26,38618790D,跨國平衡-全球型,USD,10.02,-4.571429
T1433A 新光美豐收平衡A,2018/10/26,42384458A,跨國平衡-全球型,TWD,9.76,-0.204499
T1433B 新光美豐收平衡B,2018/10/26,42384458B,跨國平衡-全球型,TWD,9.01,-0.221484
T1433C 新光美豐收平衡A$,2018/10/26,42384458C,跨國平衡-全球型,USD,10.26,-0.484966
T1433D 新光美豐收平衡B$,2018/10/26,42384458D,跨國平衡-全球型,USD,9.5,-0.419286
T1437A 新光全平衡A,2018/10/26,42549326A,跨國平衡-全球型,TWD,9.4,-4.081632
T1437B 新光全平衡B,2018/10/26,42549326B,跨國平衡-全球型,TWD,9.45,-3.865717
T1437C 新光全平衡A$,2018/10/26,42549326C,跨國平衡-全球型,USD,10.17,-3.510437
T1437D 新光全平衡AC,2018/10/26,42549326D,跨國平衡-全球型,CNY,8.9,-3.470714
T1604Y 群益亞太新趨勢平,2018/10/26,48787295,跨國平衡-亞洲,TWD,14.87,-1.783356
T1616Y 群益真善美,2018/10/26,17147605,平衡--一般股票型,TWD,15.4467,-0.87976
T1617Y 群益平衡王,2018/10/26,18037845,平衡--價值股票型,TWD,18.0581,-0.273916
T1618Y 群益安家,2018/10/26,29243337,平衡--一般股票型,TWD,22.3508,-2.838662
T1656A 群益中國金采A,2018/10/26,42301416A,跨國平衡-中國,TWD,8.2019,-0.237186
T1656B 群益中國金采B,2018/10/26,42301416B,跨國平衡-中國,TWD,7.1779,-0.23628
T1656C 群益中國金采A$,2018/10/26,42301416C,跨國平衡-中國,USD,8.6984,-0.332286
T1656D 群益中國金采B$,2018/10/26,42301416D,跨國平衡-中國,USD,7.6115,-0.333902
T1656E 群益中國金采AC,2018/10/26,42301416E,跨國平衡-中國,CNY,9.4773,-0.034807
T1656F 群益中國金采BC,2018/10/26,42301416F,跨國平衡-中國,CNY,8.2937,-0.034954
T1659A 群益金選平衡A,2018/10/26,42440058A,跨國平衡-全球型,TWD,9.6758,-1.850238
T1659B 群益金選平衡B,2018/10/26,42440058B,跨國平衡-全球型,TWD,8.3715,-1.850093
T1659C 群益金選平衡A$,2018/10/26,42440058C,跨國平衡-全球型,USD,10.165,-1.883186
T1659D 群益金選平衡B$,2018/10/26,42440058D,跨國平衡-全球型,USD,8.7969,-1.882731
T1659E 群益金選平衡AC,2018/10/26,42440058E,跨國平衡-全球型,CNY,10.7442,-1.851665
T1659F 群益金選平衡BC,2018/10/26,42440058F,跨國平衡-全球型,CNY,9.295,-1.852086
T2121A 柏瑞中國平衡A,2018/10/26,38651312A,跨國平衡-中國,TWD,9.8016,-0.501472
T2121B 柏瑞中國平衡B,2018/10/26,38651312B,跨國平衡-中國,TWD,8.6694,-0.502687
T2121C 柏瑞中國平衡A$,2018/10/26,38651312C,跨國平衡-中國,USD,9.9842,-0.564691
T2121D 柏瑞中國平衡B$,2018/10/26,38651312D,跨國平衡-中國,USD,8.8361,-0.564913
T2121E 柏瑞中國平衡AC,2018/10/26,38651312E,跨國平衡-中國,CNY,10.719,-0.556638
T2121F 柏瑞中國平衡BC,2018/10/26,38651312F,跨國平衡-中國,CNY,9.006,-0.557609
T2121G 柏瑞中國平衡N,2018/10/26,38651312G,跨國平衡-中國,TWD,9.9393,-0.502527
T2121H 柏瑞中國平衡NC,2018/10/26,38651312H,跨國平衡-中國,CNY,10.3923,-0.556913
T2121L 柏瑞中國平衡N$,2018/10/26,38651312K,跨國平衡-中國,USD,10.3403,-0.564476
T2206Y 復華傳家,2018/10/26,17138818,平衡--一般股票型,TWD,18.4026,-6.681
T2209Y 復華傳家二號,2018/10/26,18035945,平衡--一般股票型,TWD,27.217,-2.390303
T2212Y 復華人生目標,2018/10/26,15742001,平衡--一般股票型,TWD,33.8931,-2.246481
T2213A 復華全球平衡 USD,2018/10/26,99034755B,跨國平衡-全球型,USD,8.66,-3.777777
T2213Y 復華全球平衡,2018/10/26,99034755A,跨國平衡-全球型,TWD,18.53,-3.640145
T2214Y 復華神盾,2018/10/26,99607599,平衡--一般股票型,TWD,21.9687,-2.653373
T2217Y 復華亞太平衡,2018/10/26,48733658,跨國平衡-亞洲,TWD,10.9,-2.154399
T2291A 復華中新經濟平衡,2018/10/26,42303499A,跨國平衡-中國,TWD,9.29,-1.484623
T2291B 復華中新經濟平AC,2018/10/26,42303499B,跨國平衡-中國,CNY,10.71,-1.381215
T2291C 復華中新經濟平BC,2018/10/26,42303499C,跨國平衡-中國,CNY,9.79,-1.310483
T2507Y 永豐趨勢平衡,2018/10/26,14706582,平衡--一般股票型,TWD,36.5,-4.249737
T2624A 中信入息平衡A,2018/10/26,38530388A,跨國平衡-全球型,TWD,10.0839,-3.359081
T2624B 中信入息平衡B,2018/10/26,38530388B,跨國平衡-全球型,TWD,8.737,-3.359255
T2630A 中信亞太多元息A,2018/10/26,42329152A,跨國平衡-亞洲,TWD,10.4477,-1.33254
T2630B 中信亞太多元息B,2018/10/26,42329152B,跨國平衡-亞洲,TWD,9.3479,-1.333094
T2639A 中信樂齡收益平A,2018/10/26,42443702A,跨國平衡-全球型,TWD,10.68,-3.956835
T2639B 中信樂齡收益平B,2018/10/26,42443702B,跨國平衡-全球型,TWD,10.29,-4.011194
T2639C 中信樂齡收益平A$,2018/10/26,42443702C,跨國平衡-全球型,USD,10.76,-4.099821
T2639D 中信樂齡收益平B$,2018/10/26,42443702D,跨國平衡-全球型,USD,10.43,-4.13603
T3204Y 野村平衡,2018/10/26,17602250,平衡--一般股票型,TWD,16.81,-2.096681
T3221Y 野村鴻利,2018/10/26,00971103,平衡--一般股票型,TWD,19.03,-2.858601
T3295A 野村多元收益平A,2018/10/26,42391084A,跨國平衡-全球型,TWD,9.9981,-1.626424
T3295B 野村多元收益平B,2018/10/26,42391084B,跨國平衡-全球型,TWD,8.5047,-1.626317
T3295C 野村多元收益平A$,2018/10/26,42391084C,跨國平衡-全球型,USD,10.3585,-1.666967
T3295D 野村多元收益平B$,2018/10/26,42391084D,跨國平衡-全球型,USD,8.8691,-1.666408
T3295E 野村多元收益平AC,2018/10/26,42391084E,跨國平衡-全球型,CNY,10.8818,-1.626332
T3295F 野村多元收益平BC,2018/10/26,42391084F,跨國平衡-全球型,CNY,9.1139,-1.626622
T3308Y 聯邦金鑽平衡,2018/10/26,98669575,平衡--一般股票型,TWD,19.7715,-3.163478
T3328A 聯邦太平洋平衡A,2018/10/26,38546327A,跨國平衡-亞洲,TWD,11.2478,-2.245745
T3328B 聯邦太平洋平衡B,2018/10/26,38546327B,跨國平衡-亞洲,TWD,10.7764,-2.245122
T3328C 聯邦太平洋平衡AC,2018/10/26,38546327C,跨國平衡-亞洲,CNY,11.672,-2.172455
T3341A 聯邦全視界平衡A,2018/10/26,42449712A,跨國平衡-全球型,TWD,9.8875,-1.903883
T3341B 聯邦全視界平衡B,2018/10/26,42449712B,跨國平衡-全球型,TWD,9.3202,-1.903991
T3341C 聯邦全視界平衡AC,2018/10/26,42449712C,跨國平衡-全球型,CNY,10.8547,-1.968807
T3341D 聯邦全視界平衡BC,2018/10/26,42449712D,跨國平衡-全球型,CNY,10.2447,-1.967408
T3341E 聯邦全視界平衡A$,2018/10/26,42449712E,跨國平衡-全球型,USD,10.6253,-1.986053
T3341F 聯邦全視界平衡B$,2018/10/26,42449712F,跨國平衡-全球型,USD,10.0127,-1.986179
T3743A 國泰全多重平衡 A,2018/10/26,38582842A,跨國平衡-全球型,TWD,10.59,-1.671309
T3743B 國泰全多重平衡 B,2018/10/26,38582842B,跨國平衡-全球型,TWD,9.39,-1.778243
T3743C 國泰全多重平衡A$,2018/10/26,38582842C,跨國平衡-全球型,USD,0.3949,-1.741728
T3743D 國泰全多重平衡B$,2018/10/26,38582842D,跨國平衡-全球型,USD,0.3557,-1.740331
T3743E 國泰全多重平衡I$,2018/10/26,38582842E,跨國平衡-全球型,USD,0.4195,-1.733426
T3743F 國泰全多重平衡AA,2018/10/26,38582842F,跨國平衡-全球型,AUD,0.5035,-1.35188
T3769A 國泰亞太息平衡A,2018/10/26,42331684A,跨國平衡-亞洲,TWD,10.3958,-3.311074
T3769B 國泰亞太息平衡B,2018/10/26,42331684B,跨國平衡-亞洲,TWD,9.2707,-3.311362
T3769C 國泰亞太息平衡A$,2018/10/26,42331684C,跨國平衡-亞洲,USD,0.3358,-3.394706
T3769D 國泰亞太息平衡B$,2018/10/26,42331684D,跨國平衡-亞洲,USD,0.2995,-3.387097
T3769E 國泰亞太息平衡AC,2018/10/26,42331684E,跨國平衡-亞洲,CNY,2.3276,-3.081279
T3769F 國泰亞太息平衡AA,2018/10/26,42331684F,跨國平衡-亞洲,AUD,0.4728,-3.015385
T4126A 凱基全高效平衡A,2018/10/26,42453588A,跨國平衡-全球型,TWD,10.02,-1.474927
T4126B 凱基全高效平衡B,2018/10/26,42453588B,跨國平衡-全球型,TWD,9.42,-1.567398
T4126C 凱基全高效平衡A$,2018/10/26,42453588C,跨國平衡-全球型,USD,10.2239,-1.621377
T4332Y 華頓中國機會平衡,2018/10/26,38634406,跨國平衡-中國,TWD,11.0592,-1.647916
T4519A 富蘭亞太平衡A,2018/10/26,42407614A,跨國平衡-亞洲,TWD,9.51,-1.7562
T4519B 富蘭亞太平衡B,2018/10/26,42407614B,跨國平衡-亞洲,TWD,8.8,-1.785714
T4519C 富蘭亞太平衡A$,2018/10/26,42407614C,跨國平衡-亞洲,USD,9.77,-1.710261
T4519D 富蘭亞太平衡B$,2018/10/26,42407614D,跨國平衡-亞洲,USD,9.02,-1.74292
T4519E 富蘭亞太平衡BC,2018/10/26,42407614E,跨國平衡-亞洲,CNY,9.07,-1.839827
T4703Y 台新高股息平衡,2018/10/26,21719942,平衡--一般股票型,TWD,26.01,-3.756138
T0105Y 兆豐國際萬全,2018/10/19,00971976,平衡--一般股票型,TWD,18.62,0.431499
T0121A 兆豐大中華平衡,2018/10/19,42334401A,跨國平衡-亞洲,TWD,8.84,-1.55902
T0121B 兆豐大中華平衡 $,2018/10/19,42334401B,跨國平衡-亞洲,USD,9.43,-1.668404
T0121C 兆豐大中華平衡 C,2018/10/19,42334401C,跨國平衡-亞洲,CNY,10.1,-1.655307
T0320Y 第一金中概平衡,2018/10/19,99353151,平衡--一般股票型,TWD,22.27,-0.978214
T0343A 第一金全球多息 A,2018/10/19,38539992A,跨國平衡-全球型,TWD,10.0712,1.150996
T0343B 第一金全球多息 B,2018/10/19,38539992B,跨國平衡-全球型,TWD,8.4646,1.150771
T0405Y 匯豐安富,2018/10/19,00971080,平衡--一般股票型,TWD,24.38,-0.692464
T0458A 匯豐中多息平Aa,2018/10/19,38647535A,跨國平衡-中國,TWD,9.8296,-0.547367
T0458B 匯豐中多息平Bd,2018/10/19,38647535B,跨國平衡-中國,TWD,8.8304,-0.547359
T0458C 匯豐中多息平AaC,2018/10/19,38647535C,跨國平衡-中國,CNY,11.069,-0.525724
T0458D 匯豐中多息平BdC,2018/10/19,38647535D,跨國平衡-中國,CNY,10.035,-0.521433
T0458E 匯豐中多息平Aa$,2018/10/19,38647535E,跨國平衡-中國,USD,9.9874,-0.759156
T0458F 匯豐中多息平Bd$,2018/10/19,38647535F,跨國平衡-中國,USD,8.9943,-0.801809
T0479A 匯亞exJP多息平 A,2018/10/19,42443317A,跨國平衡-亞洲,TWD,10.31,-0.386473
T0479B 匯亞exJP多息Bd,2018/10/19,42443317B,跨國平衡-亞洲,TWD,9.95,-0.3006
T0479C 匯亞exJP多息BdC,2018/10/19,42443317C,跨國平衡-亞洲,CNY,10.72,-0.556587
T0479D 匯亞exJP多息平A$,2018/10/19,42443317D,跨國平衡-亞洲,USD,10.92,-0.45579
T0479E 匯亞exJP多息Bd$,2018/10/19,42443317E,跨國平衡-亞洲,USD,10.53,-0.37843
T0479F 匯亞exJP多息BdA,2018/10/19,42443317F,跨國平衡-亞洲,AUD,10.46,-0.380952
T0591A 元大中平衡 CNY,2018/10/19,31830473B,跨國平衡-中國,CNY,2.82,-0.704226
T0591Y 元大中平衡 NTD,2018/10/19,31830473A,跨國平衡-中國,TWD,12.54,-0.791139
T05A2A 元大新東協平衡,2018/10/19,42403764A,跨國平衡-亞洲,TWD,8.78,0.228311
T05A2B 元大新東協平衡 $,2018/10/19,42403764B,跨國平衡-亞洲,USD,8.973,0.12274
T05A3A 元大大中華豐平,2018/10/19,42451239A,跨國平衡-亞洲,TWD,9.177,-0.746269
T05A3B 元大大中華豐平 C,2018/10/19,42451239B,跨國平衡-亞洲,CNY,9.573,-0.921134
T0717Y 瀚亞理財通,2018/10/19,18036769,平衡--一般股票型,TWD,25.8,-1.526718
T0747A 瀚亞亞太豐平衡 A,2018/10/19,38621330A,跨國平衡-亞洲,TWD,10.3203,0.031986
T0747B 瀚亞亞太豐平衡 B,2018/10/19,38621330B,跨國平衡-亞洲,TWD,8.5181,0.031706
T0747C 瀚亞亞太豐平衡A$,2018/10/19,38621330C,跨國平衡-亞洲,USD,10.4867,-0.118106
T0747D 瀚亞亞太豐平衡B$,2018/10/19,38621330D,跨國平衡-亞洲,USD,8.6677,-0.115238
T0747E 瀚亞亞太豐平衡AA,2018/10/19,38621330E,跨國平衡-亞洲,AUD,11.6138,-0.127273
T0747F 瀚亞亞太豐平衡BA,2018/10/19,38621330F,跨國平衡-亞洲,AUD,8.991,-0.13329
T0747G 瀚亞亞太豐平衡AZ,2018/10/19,38621330G,跨國平衡-亞洲,ZAR,13.2355,-0.281026
T0747H 瀚亞亞太豐平衡BZ,2018/10/19,38621330H,跨國平衡-亞洲,ZAR,9.586,-0.196773
T0747J 瀚亞亞太豐平衡AC,2018/10/19,38621330I,跨國平衡-亞洲,CNY,11.5559,0.007789
T0747K 瀚亞亞太豐平衡BC,2018/10/19,38621330J,跨國平衡-亞洲,CNY,8.8373,0.006791
T0754A 瀚亞印策收平衡A,2018/10/19,42481830A,跨國平衡-單一國,TWD,8.98,-0.111234
T0754B 瀚亞印策收平衡B,2018/10/19,42481830B,跨國平衡-單一國,TWD,8.36,-0.238664
