基金碼,年月日,基金統編,幣別,淨值(元)
T0458C 匯豐中多息平AaC,2018/01/12,38647535C,RMB,12.166
T0458D 匯豐中多息平BdC,2018/01/12,38647535D,RMB,11.2218
T0458E 匯豐中多息平Aa$,2018/01/12,38647535E,USD,11.7816
T0458F 匯豐中多息平Bd$,2018/01/12,38647535F,USD,10.9274
T0479A 匯亞exJP多息平 A,2018/01/12,42443317A,NTD,10.82
T0479B 匯亞exJP多息Bd,2018/01/12,42443317B,NTD,10.66
T0479C 匯亞exJP多息BdC,2018/01/12,42443317C,RMB,11.69
T0479D 匯亞exJP多息平A$,2018/01/12,42443317D,USD,11.65
T0479E 匯亞exJP多息Bd$,2018/01/12,42443317E,USD,11.47
T0479F 匯亞exJP多息BdA,2018/01/12,42443317F,AUD,11.59
T0591A 元大中平衡 CNY,2018/01/12,31830473B,RMB,3.38
T0591Y 元大中平衡 NTD,2018/01/12,31830473A,NTD,15.45
T05A2A 元大新東協平衡,2018/01/12,42403764A,NTD,9.94
T05A2B 元大新東協平衡 $,2018/01/12,42403764B,USD,10.629
T05A3A 元大大中華豐平,2018/01/12,42451239A,NTD,11.931
T05A3B 元大大中華豐平 C,2018/01/12,42451239B,RMB,12.137
T0717Y 瀚亞理財通,2018/01/12,18036769,NTD,24.85
T0747A 瀚亞亞太豐平衡 A,2018/01/12,38621330A,NTD,11.0925
T0747B 瀚亞亞太豐平衡 B,2018/01/12,38621330B,NTD,9.5062
T0747C 瀚亞亞太豐平衡A$,2018/01/12,38621330C,USD,11.5873
T0747D 瀚亞亞太豐平衡B$,2018/01/12,38621330D,USD,9.9396
T0747E 瀚亞亞太豐平衡AA,2018/01/12,38621330E,AUD,11.8141
T0747F 瀚亞亞太豐平衡BA,2018/01/12,38621330F,AUD,9.631
T0747G 瀚亞亞太豐平衡AZ,2018/01/12,38621330G,ZAR,13.2737
T0747H 瀚亞亞太豐平衡BZ,2018/01/12,38621330H,ZAR,10.251
T0747J 瀚亞亞太豐平衡AC,2018/01/12,38621330I,RMB,12.2134
T0747K 瀚亞亞太豐平衡BC,2018/01/12,38621330J,RMB,9.8342
T0754A 瀚亞印策收平衡A,2018/01/12,42481830A,NTD,10
T0754B 瀚亞印策收平衡B,2018/01/12,42481830B,NTD,9.83
T0754C 瀚亞印策收平衡B$,2018/01/12,42481830C,USD,9.97
T0754D 瀚亞印策收平衡BC,2018/01/12,42481830D,RMB,9.85
T0754E 瀚亞印策收平衡S,2018/01/12,42481830E,NTD,9.83
T0754F 瀚亞印策收平衡S$,2018/01/12,42481830F,USD,10.02
T0754G 瀚亞印策收平衡SC,2018/01/12,42481830G,RMB,9.79
T0814Y 保德信金平衡,2018/01/12,18044064,NTD,29.35
T0890A 保德信中國好平A,2018/01/12,42330171A,NTD,10.9458
T0890B 保德信中國好平B,2018/01/12,42330171B,NTD,10.3464
T0890C 保德信中國好平B$,2018/01/12,42330171C,USD,10.2098
T0890D 保德信中國好平BC,2018/01/12,42330171D,RMB,10.2372
T1114Y 摩根平衡,2018/01/12,18036846,NTD,28.05
T1117Y 摩根全球平衡,2018/01/12,99181637,NTD,15.8441
T1120A 摩根亞高息平衡 A,2018/01/12,21704027A,NTD,14.0841
T1120B 摩根亞高息平衡 B,2018/01/12,21704027B,NTD,11.2358
T1148A 摩根新興雙利A,2018/01/12,42299565A,NTD,10.42
T1148B 摩根新興雙利B,2018/01/12,42299565B,NTD,9.3036
T1148C 摩根新興雙利B$,2018/01/12,42299565C,USD,9.8247
T1148D 摩根新興雙利BC,2018/01/12,42299565D,RMB,10.3178
T1150A 摩根中國雙息平A,2018/01/12,42319892A,NTD,13.9213
T1150B 摩根中國雙息平B,2018/01/12,42319892B,NTD,12.705
T1150C 摩根中國雙息平AC,2018/01/12,42319892C,RMB,15.6784
T1150D 摩根中國雙息平BC,2018/01/12,42319892D,RMB,13.9139
T1150E 摩根中國雙息平B$,2018/01/12,42319892E,USD,11.0104
T1207Y 華南永昌龍盈平衡,2018/01/12,18477625,NTD,25.4354
T1239A 華南多重息平衡 A,2018/01/12,38618790A,NTD,13.38
T1239B 華南多重息平衡 B,2018/01/12,38618790B,NTD,11.64
T1239C 華南多重息平衡A$,2018/01/12,38618790C,USD,14
T1239D 華南多重息平衡B$,2018/01/12,38618790D,USD,12.15
T1414Y 新光福運平衡,2018/01/12,99975518,NTD,17.0613
T1433A 新光美豐收平衡A,2018/01/12,42384458A,NTD,9.53
T1433B 新光美豐收平衡B,2018/01/12,42384458B,NTD,8.96
T1433C 新光美豐收平衡A$,2018/01/12,42384458C,USD,10.48
T1433D 新光美豐收平衡B$,2018/01/12,42384458D,USD,9.88
T1437A 新光全平衡A,2018/01/12,42549326A,NTD,9.98
T1437B 新光全平衡B,2018/01/12,42549326B,NTD,9.98
T1437C 新光全平衡A$,2018/01/12,42549326C,USD,10.05
T1437D 新光全平衡AC,2018/01/12,42549326D,RMB,10.08
T1604Y 群益亞太新趨勢平,2018/01/12,48787295,NTD,17.61
T1616Y 群益真善美,2018/01/12,17147605,NTD,17.5002
T1617Y 群益平衡王,2018/01/12,18037845,NTD,19.7422
T1618Y 群益安家,2018/01/12,29243337,NTD,23.8539
T1656A 群益中國金采A,2018/01/12,42301416A,NTD,9.0589
T1656B 群益中國金采B,2018/01/12,42301416B,NTD,8.1703
T1656C 群益中國金采A$,2018/01/12,42301416C,USD,10.0635
T1656D 群益中國金采B$,2018/01/12,42301416D,USD,9.0756
T1656E 群益中國金采AC,2018/01/12,42301416E,RMB,10.2126
T1656F 群益中國金采BC,2018/01/12,42301416F,RMB,9.2101
T1659A 群益金選平衡A,2018/01/12,42440058A,NTD,10.3275
T1659B 群益金選平衡B,2018/01/12,42440058B,NTD,9.4192
T1659C 群益金選平衡A$,2018/01/12,42440058C,USD,10.9855
T1659D 群益金選平衡B$,2018/01/12,42440058D,USD,10.0219
T1659E 群益金選平衡AC,2018/01/12,42440058E,RMB,11.4169
T1659F 群益金選平衡BC,2018/01/12,42440058F,RMB,10.4116
T2121A 柏瑞中國平衡A,2018/01/12,38651312A,NTD,11.0228
T2121B 柏瑞中國平衡B,2018/01/12,38651312B,NTD,9.9932
T2121C 柏瑞中國平衡A$,2018/01/12,38651312C,USD,11.5932
T2121D 柏瑞中國平衡B$,2018/01/12,38651312D,USD,10.5055
T2121E 柏瑞中國平衡AC,2018/01/12,38651312E,RMB,12.3755
T2121F 柏瑞中國平衡BC,2018/01/12,38651312F,RMB,10.7712
T2121G 柏瑞中國平衡N,2018/01/12,38651312G,NTD,11.4408
T2121H 柏瑞中國平衡NC,2018/01/12,38651312H,RMB,12.3714
T2206Y 復華傳家,2018/01/12,17138818,NTD,22.1336
T2209Y 復華傳家二號,2018/01/12,18035945,NTD,27.0741
T2212Y 復華人生目標,2018/01/12,15742001,NTD,34.4711
T2213Y 復華全球平衡,2018/01/12,99034755A,NTD,20.69
T2214Y 復華神盾,2018/01/12,99607599,NTD,23.5803
T2217Y 復華亞太平衡,2018/01/12,48733658,NTD,14.32
T2291A 復華中新經濟平衡,2018/01/12,42303499A,NTD,11.25
T2291B 復華中新經濟平AC,2018/01/12,42303499B,RMB,12.17
T2291C 復華中新經濟平BC,2018/01/12,42303499C,RMB,11.32
T2507Y 永豐趨勢平衡,2018/01/12,14706582,NTD,45.77
T2605Y 中國信託精穩,2018/01/12,18038078,NTD,18.3682
T2624A 中信入息平衡A,2018/01/12,38530388A,NTD,10.7088
T2624B 中信入息平衡B,2018/01/12,38530388B,NTD,9.5155
T2630A 中信亞太多元息A,2018/01/12,42329152A,NTD,11.5947
T2630B 中信亞太多元息B,2018/01/12,42329152B,NTD,10.7037
T2639A 中信樂齡收益平A,2018/01/12,42443702A,NTD,11.05
T2639B 中信樂齡收益平B,2018/01/12,42443702B,NTD,10.84
T2639C 中信樂齡收益平A$,2018/01/12,42443702C,USD,11.68
T2639D 中信樂齡收益平B$,2018/01/12,42443702D,USD,11.48
T3204Y 野村平衡,2018/01/12,17602250,NTD,18.82
T3221Y 野村鴻利,2018/01/12,00971103,NTD,21.82
T3295A 野村多元收益平A,2018/01/12,42391084A,NTD,10.4317
T3295B 野村多元收益平B,2018/01/12,42391084B,NTD,9.4263
T3295C 野村多元收益平A$,2018/01/12,42391084C,USD,10.9836
T3295D 野村多元收益平B$,2018/01/12,42391084D,USD,9.9614
T3295E 野村多元收益平AC,2018/01/12,42391084E,RMB,11.4463
T3295F 野村多元收益平BC,2018/01/12,42391084F,RMB,10.2315
T3308Y 聯邦金鑽平衡,2018/01/12,98669575,NTD,23.4913
T3328A 聯邦太平洋平衡A,2018/01/12,38546327A,NTD,12.5148
T3328B 聯邦太平洋平衡B,2018/01/12,38546327B,NTD,12.0946
T3328C 聯邦太平洋平衡AC,2018/01/12,38546327C,RMB,12.8576
T3341A 聯邦全視界平衡A,2018/01/12,42449712A,NTD,10.4949
T3341B 聯邦全視界平衡B,2018/01/12,42449712B,NTD,10.1522
T3341C 聯邦全視界平衡AC,2018/01/12,42449712C,RMB,11.8385
T3341D 聯邦全視界平衡BC,2018/01/12,42449712D,RMB,11.4605
T3341E 聯邦全視界平衡A$,2018/01/12,42449712E,USD,11.701
T3341F 聯邦全視界平衡B$,2018/01/12,42449712F,USD,11.3207
T3614Y 安聯全球計量,2018/01/12,48738909,NTD,13.25
T3704Y 國泰平衡,2018/01/12,18494624,NTD,27.74
T3743A 國泰全多重平衡 A,2018/01/12,38582842A,NTD,11.5
T3743B 國泰全多重平衡 B,2018/01/12,38582842B,NTD,10.39
T3743C 國泰全多重平衡A$,2018/01/12,38582842C,USD,0.4289
T3743D 國泰全多重平衡B$,2018/01/12,38582842D,USD,0.3932
T3743E 國泰全多重平衡I$,2018/01/12,38582842E,USD,0.4512
T3743F 國泰全多重平衡AA,2018/01/12,38582842F,AUD,0.4898
T3769A 國泰亞太息平衡A,2018/01/12,42331684A,NTD,12.1277
T3769B 國泰亞太息平衡B,2018/01/12,42331684B,NTD,11.2299
T3769C 國泰亞太息平衡A$,2018/01/12,42331684C,USD,0.4042
T3769D 國泰亞太息平衡B$,2018/01/12,42331684D,USD,0.3743
T3769E 國泰亞太息平衡AC,2018/01/12,42331684E,RMB,2.6026
T3769F 國泰亞太息平衡AA,2018/01/12,42331684F,AUD,0.5098
T4126A 凱基全高效平衡A,2018/01/12,42453588A,NTD,10.56
T4126B 凱基全高效平衡B,2018/01/12,42453588B,NTD,10.22
T4126C 凱基全高效平衡A$,2018/01/12,42453588C,USD,11.2832
T4332Y 華頓中國機會平衡,2018/01/12,38634406,NTD,13.7907
T4519A 富蘭亞太平衡A,2018/01/12,42407614A,NTD,11.17
T4519B 富蘭亞太平衡B,2018/01/12,42407614B,NTD,10.66
T4519C 富蘭亞太平衡A$,2018/01/12,42407614C,USD,11.77
T4519D 富蘭亞太平衡B$,2018/01/12,42407614D,USD,11.23
T4519E 富蘭亞太平衡BC,2018/01/12,42407614E,RMB,11.27
T4703Y 台新高股息平衡,2018/01/12,21719942,NTD,30.5288
T0105Y 兆豐國際萬全,2018/01/05,00971976,NTD,20.73
T0121A 兆豐大中華平衡,2018/01/05,42334401A,NTD,11.47
T0121B 兆豐大中華平衡 $,2018/01/05,42334401B,USD,12.47
T0121C 兆豐大中華平衡 C,2018/01/05,42334401C,RMB,12.57
T0320Y 第一金中概平衡,2018/01/05,99353151,NTD,23.67
T0343A 第一金全球多息 A,2018/01/05,38539992A,NTD,10.3809
T0343B 第一金全球多息 B,2018/01/05,38539992B,NTD,8.993
T0405Y 匯豐安富,2018/01/05,00971080,NTD,25.64
T0458A 匯豐中多息平Aa,2018/01/05,38647535A,NTD,10.9054
T0458B 匯豐中多息平Bd,2018/01/05,38647535B,NTD,10.0172
T0458C 匯豐中多息平AaC,2018/01/05,38647535C,RMB,12.0373
T0458D 匯豐中多息平BdC,2018/01/05,38647535D,RMB,11.1117
T0458E 匯豐中多息平Aa$,2018/01/05,38647535E,USD,11.6257
T0458F 匯豐中多息平Bd$,2018/01/05,38647535F,USD,10.7861
T0479A 匯亞exJP多息平 A,2018/01/05,42443317A,NTD,10.83
T0479B 匯亞exJP多息Bd,2018/01/05,42443317B,NTD,10.67
T0479C 匯亞exJP多息BdC,2018/01/05,42443317C,RMB,11.67
T0479D 匯亞exJP多息平A$,2018/01/05,42443317D,USD,11.62
T0479E 匯亞exJP多息Bd$,2018/01/05,42443317E,USD,11.44
T0479F 匯亞exJP多息BdA,2018/01/05,42443317F,AUD,11.58
T0591A 元大中平衡 CNY,2018/01/05,31830473B,RMB,3.32
T0591Y 元大中平衡 NTD,2018/01/05,31830473A,NTD,15.11
T05A2A 元大新東協平衡,2018/01/05,42403764A,NTD,9.82
T05A2B 元大新東協平衡 $,2018/01/05,42403764B,USD,10.524
T05A3A 元大大中華豐平,2018/01/05,42451239A,NTD,11.796
T05A3B 元大大中華豐平 C,2018/01/05,42451239B,RMB,12.062
T0717Y 瀚亞理財通,2018/01/05,18036769,NTD,25.15
T0747A 瀚亞亞太豐平衡 A,2018/01/05,38621330A,NTD,11.0312
T0747B 瀚亞亞太豐平衡 B,2018/01/05,38621330B,NTD,9.4931
T0747C 瀚亞亞太豐平衡A$,2018/01/05,38621330C,USD,11.5434
T0747D 瀚亞亞太豐平衡B$,2018/01/05,38621330D,USD,9.9432
T0747E 瀚亞亞太豐平衡AA,2018/01/05,38621330E,AUD,11.8052
T0747F 瀚亞亞太豐平衡BA,2018/01/05,38621330F,AUD,9.6767
T0747G 瀚亞亞太豐平衡AZ,2018/01/05,38621330G,ZAR,13.1432
T0747H 瀚亞亞太豐平衡BZ,2018/01/05,38621330H,ZAR,10.2176
T0747J 瀚亞亞太豐平衡AC,2018/01/05,38621330I,RMB,12.2
T0747K 瀚亞亞太豐平衡BC,2018/01/05,38621330J,RMB,9.8847
T0754A 瀚亞印策收平衡A,2018/01/05,42481830A,NTD,10
T0754B 瀚亞印策收平衡B,2018/01/05,42481830B,NTD,10
T0754C 瀚亞印策收平衡B$,2018/01/05,42481830C,USD,10.18
T0754D 瀚亞印策收平衡BC,2018/01/05,42481830D,RMB,10.09
T0754E 瀚亞印策收平衡S,2018/01/05,42481830E,NTD,9.95
T0754F 瀚亞印策收平衡S$,2018/01/05,42481830F,USD,10.17
T0754G 瀚亞印策收平衡SC,2018/01/05,42481830G,RMB,9.98
T0814Y 保德信金平衡,2018/01/05,18044064,NTD,29.49
T0890A 保德信中國好平A,2018/01/05,42330171A,NTD,10.7405
T0890B 保德信中國好平B,2018/01/05,42330171B,NTD,10.1524
T0890C 保德信中國好平B$,2018/01/05,42330171C,USD,10.0166
T0890D 保德信中國好平BC,2018/01/05,42330171D,RMB,10.0457
T1114Y 摩根平衡,2018/01/05,18036846,NTD,27.95
T1117Y 摩根全球平衡,2018/01/05,99181637,NTD,15.7329
T1120A 摩根亞高息平衡 A,2018/01/05,21704027A,NTD,13.9497
T1120B 摩根亞高息平衡 B,2018/01/05,21704027B,NTD,11.2417
T1148A 摩根新興雙利A,2018/01/05,42299565A,NTD,10.3426
T1148B 摩根新興雙利B,2018/01/05,42299565B,NTD,9.2634
T1148C 摩根新興雙利B$,2018/01/05,42299565C,USD,9.8056
T1148D 摩根新興雙利BC,2018/01/05,42299565D,RMB,10.3133
T1150A 摩根中國雙息平A,2018/01/05,42319892A,NTD,13.5787
T1150B 摩根中國雙息平B,2018/01/05,42319892B,NTD,12.4331
T1150C 摩根中國雙息平AC,2018/01/05,42319892C,RMB,15.3441
T1150D 摩根中國雙息平BC,2018/01/05,42319892D,RMB,13.6771
T1150E 摩根中國雙息平B$,2018/01/05,42319892E,USD,10.7959
T1207Y 華南永昌龍盈平衡,2018/01/05,18477625,NTD,25.9517
T1239A 華南多重息平衡 A,2018/01/05,38618790A,NTD,13.18
T1239B 華南多重息平衡 B,2018/01/05,38618790B,NTD,11.52
T1239C 華南多重息平衡A$,2018/01/05,38618790C,USD,13.83
T1239D 華南多重息平衡B$,2018/01/05,38618790D,USD,12.06
T1414Y 新光福運平衡,2018/01/05,99975518,NTD,17.1064
T1433A 新光美豐收平衡A,2018/01/05,42384458A,NTD,9.55
T1433B 新光美豐收平衡B,2018/01/05,42384458B,NTD,8.98
T1433C 新光美豐收平衡A$,2018/01/05,42384458C,USD,10.54
T1433D 新光美豐收平衡B$,2018/01/05,42384458D,USD,9.94
T1437A 新光全平衡A,2018/01/05,42549326A,NTD,9.95
T1437B 新光全平衡B,2018/01/05,42549326B,NTD,9.95
T1437C 新光全平衡A$,2018/01/05,42549326C,USD,10.03
T1437D 新光全平衡AC,2018/01/05,42549326D,RMB,10.06
T1604Y 群益亞太新趨勢平,2018/01/05,48787295,NTD,17.57
T1616Y 群益真善美,2018/01/05,17147605,NTD,17.5851
T1617Y 群益平衡王,2018/01/05,18037845,NTD,19.8452
T1618Y 群益安家,2018/01/05,29243337,NTD,24.625
T1656A 群益中國金采A,2018/01/05,42301416A,NTD,9.0297
T1656B 群益中國金采B,2018/01/05,42301416B,NTD,8.1439
T1656C 群益中國金采A$,2018/01/05,42301416C,USD,10.0572
T1656D 群益中國金采B$,2018/01/05,42301416D,USD,9.0699
T1656E 群益中國金采AC,2018/01/05,42301416E,RMB,10.205
T1656F 群益中國金采BC,2018/01/05,42301416F,RMB,9.2033
T1659A 群益金選平衡A,2018/01/05,42440058A,NTD,10.2563
T1659B 群益金選平衡B,2018/01/05,42440058B,NTD,9.3543
T1659C 群益金選平衡A$,2018/01/05,42440058C,USD,10.9216
T1659D 群益金選平衡B$,2018/01/05,42440058D,USD,9.9636
T1659E 群益金選平衡AC,2018/01/05,42440058E,RMB,11.3471
T1659F 群益金選平衡BC,2018/01/05,42440058F,RMB,10.348
T2121A 柏瑞中國平衡A,2018/01/05,38651312A,NTD,10.9664
T2121B 柏瑞中國平衡B,2018/01/05,38651312B,NTD,9.942
T2121C 柏瑞中國平衡A$,2018/01/05,38651312C,USD,11.5558
T2121D 柏瑞中國平衡B$,2018/01/05,38651312D,USD,10.4716
T2121E 柏瑞中國平衡AC,2018/01/05,38651312E,RMB,12.3346
T2121F 柏瑞中國平衡BC,2018/01/05,38651312F,RMB,10.7356
T2121G 柏瑞中國平衡N,2018/01/05,38651312G,NTD,11.3822
T2121H 柏瑞中國平衡NC,2018/01/05,38651312H,RMB,12.3305
T2206Y 復華傳家,2018/01/05,17138818,NTD,22.4353
T2209Y 復華傳家二號,2018/01/05,18035945,NTD,27.5768
T2212Y 復華人生目標,2018/01/05,15742001,NTD,35.1277
T2213Y 復華全球平衡,2018/01/05,99034755A,NTD,20.4
T2214Y 復華神盾,2018/01/05,99607599,NTD,24.0861
T2217Y 復華亞太平衡,2018/01/05,48733658,NTD,14.26
T2291A 復華中新經濟平衡,2018/01/05,42303499A,NTD,11.24
T2291B 復華中新經濟平AC,2018/01/05,42303499B,RMB,12.2
T2291C 復華中新經濟平BC,2018/01/05,42303499C,RMB,11.35
T2507Y 永豐趨勢平衡,2018/01/05,14706582,NTD,47.13
T2605Y 中國信託精穩,2018/01/05,18038078,NTD,18.5034
T2624A 中信入息平衡A,2018/01/05,38530388A,NTD,10.6102
T2624B 中信入息平衡B,2018/01/05,38530388B,NTD,9.4279
T2630A 中信亞太多元息A,2018/01/05,42329152A,NTD,11.4728
T2630B 中信亞太多元息B,2018/01/05,42329152B,NTD,10.5912
T2639A 中信樂齡收益平A,2018/01/05,42443702A,NTD,10.8
T2639B 中信樂齡收益平B,2018/01/05,42443702B,NTD,10.58
T2639C 中信樂齡收益平A$,2018/01/05,42443702C,USD,11.43
T2639D 中信樂齡收益平B$,2018/01/05,42443702D,USD,11.24
T3204Y 野村平衡,2018/01/05,17602250,NTD,19.17
T3221Y 野村鴻利,2018/01/05,00971103,NTD,22.24
T3295A 野村多元收益平A,2018/01/05,42391084A,NTD,10.3466
T3295B 野村多元收益平B,2018/01/05,42391084B,NTD,9.4088
T3295C 野村多元收益平A$,2018/01/05,42391084C,USD,10.9019
T3295D 野村多元收益平B$,2018/01/05,42391084D,USD,9.9473
T3295E 野村多元收益平AC,2018/01/05,42391084E,RMB,11.3452
T3295F 野村多元收益平BC,2018/01/05,42391084F,RMB,10.2112
T3308Y 聯邦金鑽平衡,2018/01/05,98669575,NTD,23.8449
T3328A 聯邦太平洋平衡A,2018/01/05,38546327A,NTD,12.6811
T3328B 聯邦太平洋平衡B,2018/01/05,38546327B,NTD,12.2554
T3328C 聯邦太平洋平衡AC,2018/01/05,38546327C,RMB,13.079
T3341A 聯邦全視界平衡A,2018/01/05,42449712A,NTD,10.4214
T3341B 聯邦全視界平衡B,2018/01/05,42449712B,NTD,10.0811
T3341C 聯邦全視界平衡AC,2018/01/05,42449712C,RMB,11.7764
T3341D 聯邦全視界平衡BC,2018/01/05,42449712D,RMB,11.4003
T3341E 聯邦全視界平衡A$,2018/01/05,42449712E,USD,11.642
T3341F 聯邦全視界平衡B$,2018/01/05,42449712F,USD,11.2636
T3614Y 安聯全球計量,2018/01/05,48738909,NTD,13.06
T3704Y 國泰平衡,2018/01/05,18494624,NTD,28.61
T3743A 國泰全多重平衡 A,2018/01/05,38582842A,NTD,11.38
T3743B 國泰全多重平衡 B,2018/01/05,38582842B,NTD,10.28
T3743C 國泰全多重平衡A$,2018/01/05,38582842C,USD,0.4248
T3743D 國泰全多重平衡B$,2018/01/05,38582842D,USD,0.3893
T3743E 國泰全多重平衡I$,2018/01/05,38582842E,USD,0.4468
T3743F 國泰全多重平衡AA,2018/01/05,38582842F,AUD,0.4882
T3769A 國泰亞太息平衡A,2018/01/05,42331684A,NTD,12.041
T3769B 國泰亞太息平衡B,2018/01/05,42331684B,NTD,11.1497
T3769C 國泰亞太息平衡A$,2018/01/05,42331684C,USD,0.4022
T3769D 國泰亞太息平衡B$,2018/01/05,42331684D,USD,0.3724
T3769E 國泰亞太息平衡AC,2018/01/05,42331684E,RMB,2.5961
T3769F 國泰亞太息平衡AA,2018/01/05,42331684F,AUD,0.5107
T4126A 凱基全高效平衡A,2018/01/05,42453588A,NTD,10.42
T4126B 凱基全高效平衡B,2018/01/05,42453588B,NTD,10.09
T4126C 凱基全高效平衡A$,2018/01/05,42453588C,USD,11.1701
T4332Y 華頓中國機會平衡,2018/01/05,38634406,NTD,13.5192
T4519A 富蘭亞太平衡A,2018/01/05,42407614A,NTD,11.01
T4519B 富蘭亞太平衡B,2018/01/05,42407614B,NTD,10.51
T4519C 富蘭亞太平衡A$,2018/01/05,42407614C,USD,11.62
T4519D 富蘭亞太平衡B$,2018/01/05,42407614D,USD,11.09
T4519E 富蘭亞太平衡BC,2018/01/05,42407614E,RMB,11.12
T4703Y 台新高股息平衡,2018/01/05,21719942,NTD,30.7248
T0105Y 兆豐國際萬全,2017/12/29,00971976,NTD,20.39
T0121A 兆豐大中華平衡,2017/12/29,42334401A,NTD,11.26
T0121B 兆豐大中華平衡 $,2017/12/29,42334401B,USD,12.16
T0121C 兆豐大中華平衡 C,2017/12/29,42334401C,RMB,12.29
T0320Y 第一金中概平衡,2017/12/29,99353151,NTD,23.13
T0343A 第一金全球多息 A,2017/12/29,38539992A,NTD,10.3634
T0343B 第一金全球多息 B,2017/12/29,38539992B,NTD,9.0078
T0405Y 匯豐安富,2017/12/29,00971080,NTD,25.24
T0458A 匯豐中多息平Aa,2017/12/29,38647535A,NTD,10.8796
T0458B 匯豐中多息平Bd,2017/12/29,38647535B,NTD,10.0185
T0458C 匯豐中多息平AaC,2017/12/29,38647535C,RMB,11.9437
T0458D 匯豐中多息平BdC,2017/12/29,38647535D,RMB,11.0436
T0458E 匯豐中多息平Aa$,2017/12/29,38647535E,USD,11.4719
T0458F 匯豐中多息平Bd$,2017/12/29,38647535F,USD,10.6541
T0479A 匯亞exJP多息平 A,2017/12/29,42443317A,NTD,10.8
T0479B 匯亞exJP多息Bd,2017/12/29,42443317B,NTD,10.66
T0479C 匯亞exJP多息BdC,2017/12/29,42443317C,RMB,11.59
T0479D 匯亞exJP多息平A$,2017/12/29,42443317D,USD,11.51
T0479E 匯亞exJP多息Bd$,2017/12/29,42443317E,USD,11.36
T0479F 匯亞exJP多息BdA,2017/12/29,42443317F,AUD,11.43
T0591A 元大中平衡 CNY,2017/12/29,31830473B,RMB,3.26
T0591Y 元大中平衡 NTD,2017/12/29,31830473A,NTD,14.89
T05A2A 元大新東協平衡,2017/12/29,42403764A,NTD,9.75
T05A2B 元大新東協平衡 $,2017/12/29,42403764B,USD,10.332
T05A3A 元大大中華豐平,2017/12/29,42451239A,NTD,11.631
T05A3B 元大大中華豐平 C,2017/12/29,42451239B,RMB,11.832
T0717Y 瀚亞理財通,2017/12/29,18036769,NTD,24.64
T0747A 瀚亞亞太豐平衡 A,2017/12/29,38621330A,NTD,10.9391
T0747B 瀚亞亞太豐平衡 B,2017/12/29,38621330B,NTD,9.4138
T0747C 瀚亞亞太豐平衡A$,2017/12/29,38621330C,USD,11.3558
T0747D 瀚亞亞太豐平衡B$,2017/12/29,38621330D,USD,9.7814
T0747E 瀚亞亞太豐平衡AA,2017/12/29,38621330E,AUD,11.6529
T0747F 瀚亞亞太豐平衡BA,2017/12/29,38621330F,AUD,9.5515
T0747G 瀚亞亞太豐平衡AZ,2017/12/29,38621330G,ZAR,13.0008
T0747H 瀚亞亞太豐平衡BZ,2017/12/29,38621330H,ZAR,10.1068
T0747J 瀚亞亞太豐平衡AC,2017/12/29,38621330I,RMB,12.094
T0747K 瀚亞亞太豐平衡BC,2017/12/29,38621330J,RMB,9.7991
T0754A 瀚亞印策收平衡A,2017/12/29,42481830A,NTD,10
T0754B 瀚亞印策收平衡B,2017/12/29,42481830B,NTD,10
T0754C 瀚亞印策收平衡B$,2017/12/29,42481830C,USD,10.06
T0754D 瀚亞印策收平衡BC,2017/12/29,42481830D,RMB,10.09
T0754E 瀚亞印策收平衡S,2017/12/29,42481830E,NTD,9.95
T0754F 瀚亞印策收平衡S$,2017/12/29,42481830F,USD,10.06
T0754G 瀚亞印策收平衡SC,2017/12/29,42481830G,RMB,9.97
T0814Y 保德信金平衡,2017/12/29,18044064,NTD,28.86
T0890A 保德信中國好平A,2017/12/29,42330171A,NTD,10.6795
T0890B 保德信中國好平B,2017/12/29,42330171B,NTD,10.0947
T0890C 保德信中國好平B$,2017/12/29,42330171C,USD,9.9681
T0890D 保德信中國好平BC,2017/12/29,42330171D,RMB,9.99
T1114Y 摩根平衡,2017/12/29,18036846,NTD,27.62
T1117Y 摩根全球平衡,2017/12/29,99181637,NTD,15.665
T1120A 摩根亞高息平衡 A,2017/12/29,21704027A,NTD,13.8436
T1120B 摩根亞高息平衡 B,2017/12/29,21704027B,NTD,11.1561
T1148A 摩根新興雙利A,2017/12/29,42299565A,NTD,10.2688
T1148B 摩根新興雙利B,2017/12/29,42299565B,NTD,9.1966
T1148C 摩根新興雙利B$,2017/12/29,42299565C,USD,9.6433
T1148D 摩根新興雙利BC,2017/12/29,42299565D,RMB,10.158
T1150A 摩根中國雙息平A,2017/12/29,42319892A,NTD,13.3627
T1150B 摩根中國雙息平B,2017/12/29,42319892B,NTD,12.2341
T1150C 摩根中國雙息平AC,2017/12/29,42319892C,RMB,15.0177
T1150D 摩根中國雙息平BC,2017/12/29,42319892D,RMB,13.386
T1150E 摩根中國雙息平B$,2017/12/29,42319892E,USD,10.5308
T1207Y 華南永昌龍盈平衡,2017/12/29,18477625,NTD,25.1634
T1239A 華南多重息平衡 A,2017/12/29,38618790A,NTD,12.92
T1239B 華南多重息平衡 B,2017/12/29,38618790B,NTD,11.29
T1239C 華南多重息平衡A$,2017/12/29,38618790C,USD,13.4
T1239D 華南多重息平衡B$,2017/12/29,38618790D,USD,11.69
T1414Y 新光福運平衡,2017/12/29,99975518,NTD,16.76
T1433A 新光美豐收平衡A,2017/12/29,42384458A,NTD,9.66
