Current,,,,,,,,,,,,,
,,,,,,,,,,,,,
基金碼,基金ISIN Code,基金統編,基金全稱,幣別,經理公司,目前狀態,成立日,清算/合併日,型態,類型,公會分類,投資標的,清算/合併說明
00642U 元大S&P 石油,TW00000642U8,42320363,元大標普高盛原油ER指數股票型期貨信託基金,NTD,元大證券投資信託,Current,2015/08/27,,"國內募集,投資國內外",開放,,ETF,
00643 群益深証中小,TW0000064302,42323777,群益深証中小板證券投資信託基金,NTD,群益證券投資信託,Current,2015/11/12,,"國內募集,投資國內外",開放,跨國-中國一般ETF,ETF,
00643K 群益深証中小+R,TW00000643K7,,群益深証中小板證券投資信託基金-加掛人民幣ETF受益憑證,RMB,群益證券投資信託,Current,2016/08/26,,"國內募集,投資國內外",開放,跨國-中國一般ETF,ETF,
00645 富邦日本,TW0000064500,42328908,富邦日本東証證券投資信託基金,NTD,富邦證券投資信託,Current,2015/10/28,,"國內募集,投資國內外",開放,日本ETF,ETF,
00646 元大S&P500,TW0000064609,42333613,元大標普 500傘型證券投資信託基金之標普 500證券投資信託基金,NTD,元大證券投資信託,Current,2015/12/02,,"國內募集,投資國內外",開放,美國ETF,ETF,
00647L 元大S&P500正2,TW00000647L6,42333579,元大標普 500傘型證券投資信託基金之標普 500單日正向 2倍證券投資信託基金,NTD,元大證券投資信託,Current,2015/12/02,,"國內募集,投資國內外",開放,美國二倍ETF,ETF,
00648R 元大S&P500反1,TW00000648R1,42333563,元大標普 500傘型證券投資信託基金之標普 500單日反向 1倍證券投資信託基金,NTD,元大證券投資信託,Current,2015/12/02,,"國內募集,投資國內外",開放,美國反向ETF,ETF,
00649 FH香港,TW0000064906,42329884,復華香港 ETF傘型證券投資信託基金之復華恒生證券投資信託基金,NTD,復華證券投資信託,Current,2016/01/13,,"國內募集,投資國內外",開放,其他市場ETF,ETF,
00650L FH香港正2,TW00000650L0,42329863,復華香港 ETF傘型證券投資信託基金之復華恒生單日正向二倍證券投資信託基金,NTD,復華證券投資信託,Current,2016/01/13,,"國內募集,投資國內外",開放,其他市場二倍ETF,ETF,
00651R FH香港反1,TW00000651R5,42329879,復華香港 ETF傘型證券投資信託基金之復華恒生單日反向一倍證券投資信託基金,NTD,復華證券投資信託,Current,2016/01/13,,"國內募集,投資國內外",開放,其他市場反向ETF,ETF,
00652 富邦印度,TW0000065200,42376963,富邦印度 ETF傘型證券投資信託基金之富邦印度 NIFTY證券投資信託基金,NTD,富邦證券投資信託,Current,2016/03/16,,"國內募集,投資國內外",開放,其他市場ETF,ETF,
00653L 富邦印度正2,TW00000653L4,42376990,富邦印度 ETF傘型證券投資信託基金－富邦印度 NIFTY單日正向兩倍證券投資信託基金,NTD,富邦證券投資信託,Current,2016/03/16,,"國內募集,投資國內外",開放,其他市場二倍ETF,ETF,
