Current,,,,,,,,,,,,,
,,,,,,,,,,,,,
基金碼,基金ISIN Code,基金統編,基金全稱,幣別,經理公司,目前狀態,成立日,清算/合併日,型態,類型,公會分類,投資標的,清算/合併說明
T1654C 群益中國高收債C,TW000T1654C6,38621459C,群益中國固定收益傘型基金之群益中國高收益債券基金－人民幣計價,RMB,群益證券投資信託,Current,2014/10/30,,"國內募集,投資國內外",開放,高收債--中國大陸,債券,
T1654D 群益中國高收債N,TW000T1654D4,38621459D,群益中國固定收益傘型基金之群益中國高收益債券基金－ N類型新臺幣計價,NTD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,高收債--中國大陸,債券,
T1654E 群益中國高收債N$,TW000T1654E2,38621459E,群益中國固定收益傘型基金之群益中國高收益債券基金－ N類型美元計價,USD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,高收債--中國大陸,債券,
T1654F 群益中國高收債NC,TW000T1654F9,38621459F,群益中國固定收益傘型基金之群益中國高收益債券基金－ N類型人民計價,RMB,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,高收債--中國大陸,債券,
T1655A 群益環球金綻 A,TW000T1655A7,38648529A,群益環球金綻雙喜證券投資信託基金－ A類型新臺幣計價,NTD,群益證券投資信託,Current,2015/01/21,,"國內募集,投資國內外",開放,跨國組合--平衡型,股票,
T1655B 群益環球金綻 B,TW000T1655B5,38648529B,群益環球金綻雙喜證券投資信託基金－ B類型新臺幣計價,NTD,群益證券投資信託,Current,2015/01/21,,"國內募集,投資國內外",開放,跨國組合--平衡型,股票,
T1655C 群益環球金綻A$,TW000T1655C3,38648529C,群益環球金綻雙喜證券投資信託基金－ A類型美元計價,USD,群益證券投資信託,Current,2015/01/21,,"國內募集,投資國內外",開放,跨國組合--平衡型,股票,
T1655D 群益環球金綻B$,TW000T1655D1,38648529D,群益環球金綻雙喜證券投資信託基金－ B類型美元計價,USD,群益證券投資信託,Current,2015/01/21,,"國內募集,投資國內外",開放,跨國組合--平衡型,股票,
T1655E 群益環球金綻AA,TW000T1655E9,38648529E,群益環球金綻雙喜證券投資信託基金－ A類型澳幣計價,AUD,群益證券投資信託,Current,2015/01/21,,"國內募集,投資國內外",開放,跨國組合--平衡型,股票,
T1655F 群益環球金綻BA,TW000T1655F6,38648529F,群益環球金綻雙喜證券投資信託基金－ B類型澳幣計價,AUD,群益證券投資信託,Current,2015/01/21,,"國內募集,投資國內外",開放,跨國組合--平衡型,股票,
T1655G 群益環球金綻AZ,TW000T1655G4,38648529G,群益環球金綻雙喜證券投資信託基金－ A類型南非幣計價,RAND,群益證券投資信託,Current,2015/01/21,,"國內募集,投資國內外",開放,跨國組合--平衡型,股票,
T1655H 群益環球金綻BZ,TW000T1655H2,38648529H,群益環球金綻雙喜證券投資信託基金－ B類型南非幣計價,RAND,群益證券投資信託,Current,2015/01/21,,"國內募集,投資國內外",開放,跨國組合--平衡型,股票,
T1655J 群益環球金綻NA,TW000T1655J8,38648529I,群益環球金綻雙喜證券投資信託基金－NA類型新臺幣計價,NTD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國組合--平衡型,股票,
T1655K 群益環球金綻NB,TW000T1655K6,38648529J,群益環球金綻雙喜證券投資信託基金－NB類型新臺幣計價,NTD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國組合--平衡型,股票,
T1655L 群益環球金綻NA$,TW000T1655L4,38648529K,群益環球金綻雙喜證券投資信託基金－NA類型美元計價,USD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國組合--平衡型,股票,
T1655M 群益環球金綻NB$,TW000T1655M2,38648529L,群益環球金綻雙喜證券投資信託基金－NB類型美元計價,USD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國組合--平衡型,股票,
T1656A 群益中國金采A,TW000T1656A5,42301416A,群益中國金采平衡證券投資信託基金 累積型,NTD,群益證券投資信託,Current,2015/06/02,,"國內募集,投資國內外",開放,跨國平衡-中國,股票+債券,
T1656B 群益中國金采B,TW000T1656B3,42301416B,群益中國金采平衡證券投資信託基金 分配型,NTD,群益證券投資信託,Current,2015/06/02,,"國內募集,投資國內外",開放,跨國平衡-中國,股票+債券,
T1656C 群益中國金采A$,TW000T1656C1,42301416C,群益中國金采平衡證券投資信託基金 累積型 美元計價,USD,群益證券投資信託,Current,2015/06/02,,"國內募集,投資國內外",開放,跨國平衡-中國,股票+債券,
T1656D 群益中國金采B$,TW000T1656D9,42301416D,群益中國金采平衡證券投資信託基金 分配型 美元計價,USD,群益證券投資信託,Current,2015/06/02,,"國內募集,投資國內外",開放,跨國平衡-中國,股票+債券,
T1656E 群益中國金采AC,TW000T1656E7,42301416E,群益中國金采平衡證券投資信託基金 累積型 人民幣計價,RMB,群益證券投資信託,Current,2015/06/02,,"國內募集,投資國內外",開放,跨國平衡-中國,股票+債券,
T1656F 群益中國金采BC,TW000T1656F4,42301416F,群益中國金采平衡證券投資信託基金 分配型 人民幣計價,RMB,群益證券投資信託,Current,2015/06/02,,"國內募集,投資國內外",開放,跨國平衡-中國,股票+債券,
T1657A 群益大印度基金,TW000T1657A3,42369604A,群益大印度證券投資信託基金－新臺幣計價,NTD,群益證券投資信託,Current,2016/03/22,,"國內募集,投資國內外",開放,其他市場股票型,股票,
T1657B 群益大印度基金$,TW000T1657B1,42369604B,群益大印度證券投資信託基金－美元計價,USD,群益證券投資信託,Current,2016/03/22,,"國內募集,投資國內外",開放,其他市場股票型,股票,
T1657C 群益大印度基金C,TW000T1657C9,42369604C,群益大印度證券投資信託基金－人民幣計價,RMB,群益證券投資信託,Current,2016/03/22,,"國內募集,投資國內外",開放,其他市場股票型,股票,
T1657D 群益大印度基金N,TW000T1657D7,42369604D,群益大印度證券投資信託基金－ N類型新臺幣計價,NTD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,其他市場股票型,股票,
T1657E 群益大印度基金N$,TW000T1657E5,42369604E,群益大印度證券投資信託基金－ N類型美元計價,USD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,其他市場股票型,股票,
T1657F 群益大印度基金NC,TW000T1657F2,42369604F,群益大印度證券投資信託基金－ N類型人民幣計價,RMB,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,其他市場股票型,股票,
T1658A 群益全球地產A,TW000T1658A1,42385061A,群益全球地產入息證券投資信託基金－ A類型新台幣計價,NTD,群益證券投資信託,Current,2016/05/31,,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,
T1658B 群益全球地產B,TW000T1658B9,42385061B,群益全球地產入息證券投資信託基金－ B類型新台幣計價,NTD,群益證券投資信託,Current,2016/05/31,,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,
T1658C 群益全球地產A$,TW000T1658C7,42385061C,群益全球地產入息證券投資信託基金－ A類型美元計價,USD,群益證券投資信託,Current,2016/05/31,,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,
T1658D 群益全球地產B$,TW000T1658D5,42385061D,群益全球地產入息證券投資信託基金－ B類型美元計價,USD,群益證券投資信託,Current,2016/05/31,,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,
T1658E 群益全球地產AC,TW000T1658E3,42385061E,群益全球地產入息證券投資信託基金－ A類型人民幣計價,RMB,群益證券投資信託,Current,2016/05/31,,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,
T1658F 群益全球地產BC,TW000T1658F0,42385061F,群益全球地產入息證券投資信託基金－ B類型人民幣計價,RMB,群益證券投資信託,Current,2016/05/31,,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,
T1658G 群益全球地產NA,TW000T1658G8,42385061G,群益全球地產入息證券投資信託基金－NA類型新台幣計價,NTD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,
T1658H 群益全球地產NB,TW000T1658H6,42385061H,群益全球地產入息證券投資信託基金－NB類型新台幣計價,NTD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,
T1658J 群益全球地產NA$,TW000T1658J2,42385061I,群益全球地產入息證券投資信託基金－NA類型美元計價,USD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,
T1658K 群益全球地產NB$,TW000T1658K0,42385061J,群益全球地產入息證券投資信託基金－NB類型美元計價,USD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,
T1658L 群益全球地產NAC,TW000T1658L8,42385061K,群益全球地產入息證券投資信託基金－NA類型人民幣計價,RMB,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,
T1658M 群益全球地產NBC,TW000T1658M6,42385061L,群益全球地產入息證券投資信託基金－NB類型人民幣計價,RMB,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,
T1659A 群益金選平衡A,TW000T1659A9,42440058A,群益金選報酬平衡證券投資信託基金－ A類型(累積型)新臺幣計價,NTD,群益證券投資信託,Current,2016/09/12,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T1659B 群益金選平衡B,TW000T1659B7,42440058B,群益金選報酬平衡證券投資信託基金－ B類型(月配型)新臺幣計價,NTD,群益證券投資信託,Current,2016/09/12,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T1659C 群益金選平衡A$,TW000T1659C5,42440058C,群益金選報酬平衡證券投資信託基金－ A類型(累積型)美元計價,USD,群益證券投資信託,Current,2016/09/12,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T1659D 群益金選平衡B$,TW000T1659D3,42440058D,群益金選報酬平衡證券投資信託基金－ B類型(月配型)美元計價,USD,群益證券投資信託,Current,2016/09/12,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T1659E 群益金選平衡AC,TW000T1659E1,42440058E,群益金選報酬平衡證券投資信託基金－ A類型(累積型)人民幣計價,RMB,群益證券投資信託,Current,2016/09/12,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T1659F 群益金選平衡BC,TW000T1659F8,42440058F,群益金選報酬平衡證券投資信託基金－ B類型(月配型) 人民幣計價,RMB,群益證券投資信託,Current,2016/09/12,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T1659G 群益金選平衡NA,TW000T1659G6,42440058G,群益金選報酬平衡證券投資信託基金－NA類型(累積型)新臺幣計價,NTD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T1659H 群益金選平衡NB,TW000T1659H4,42440058H,群益金選報酬平衡證券投資信託基金－NB類型(月配型)新臺幣計價,NTD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T1659J 群益金選平衡NA$,TW000T1659J0,42440058I,群益金選報酬平衡證券投資信託基金－NA類型(累積型)美元計價,USD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T1659K 群益金選平衡NB$,TW000T1659K8,42440058J,群益金選報酬平衡證券投資信託基金－NB類型(月配型)美元計價,USD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T1659L 群益金選平衡NAC,TW000T1659L6,42440058K,群益金選報酬平衡證券投資信託基金－NA類型(累積型)人民幣計價,RMB,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T1659M 群益金選平衡NBC,TW000T1659M4,42440058L,群益金選報酬平衡證券投資信託基金－NB類型(月配型) 人民幣計價,RMB,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國平衡-全球型,股票+債券,
T1661A 群益全球特別A,TW000T1661A5,42519414A,群益全球特別股收益證券投資信託基金A類型(累積型)－新臺幣計價,NTD,群益證券投資信託,Current,2017/06/21,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T1661B 群益全球特別B,TW000T1661B3,42519414B,群益全球特別股收益證券投資信託基金B類型(月配型)－新臺幣計價,NTD,群益證券投資信託,Current,2017/06/21,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T1661C 群益全球特別A$,TW000T1661C1,42519414C,群益全球特別股收益證券投資信託基金A類型(累積型)－美元計價,USD,群益證券投資信託,Current,2017/06/21,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T1661D 群益全球特別B$,TW000T1661D9,42519414D,群益全球特別股收益證券投資信託基金B類型(月配型)－美元計價,USD,群益證券投資信託,Current,2017/06/21,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T1661E 群益全球特別AC,TW000T1661E7,42519414E,群益全球特別股收益證券投資信託基金A類型(累積型)－人民幣計價,RMB,群益證券投資信託,Current,2017/06/21,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T1661F 群益全球特別BC,TW000T1661F4,42519414F,群益全球特別股收益證券投資信託基金B類型(月配型)－人民幣計價,RMB,群益證券投資信託,Current,2017/06/21,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T1661G 群益全球特別NA,TW000T1661G2,42519414G,群益全球特別股收益證券投資信託基金NA類型(累積型)－新臺幣計價,NTD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T1661H 群益全球特別NB,TW000T1661H0,42519414H,群益全球特別股收益證券投資信託基金NB類型(月配型)－新臺幣計價,NTD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T1661J 群益全球特別NA$,TW000T1661J6,42519414I,群益全球特別股收益證券投資信託基金NA類型(累積型)－美元計價,USD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T1661K 群益全球特別NB$,TW000T1661K4,42519414J,群益全球特別股收益證券投資信託基金NB類型(月配型)－美元計價,USD,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T1661L 群益全球特別NAC,TW000T1661L2,42519414K,群益全球特別股收益證券投資信託基金NA類型(累積型)－人民幣計價,RMB,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T1661M 群益全球特別NBC,TW000T1661M0,42519414L,群益全球特別股收益證券投資信託基金NB類型(月配型)－人民幣計價,RMB,群益證券投資信託,Current,2017/12/01,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T1665A 群益全優高債A,TW000T1665A6,72960111A,群益全球優先順位高收益債券證券投資信託基金－ A類型新臺幣（累積型）,NTD,群益證券投資信託,Current,2018/04/30,,"國內募集,投資國內外",開放,高收債--全球,債券,
T1665B 群益全優高債B,TW000T1665B4,72960111B,群益全球優先順位高收益債券證券投資信託基金－ B類型新臺幣（月配型）,NTD,群益證券投資信託,Current,2018/04/30,,"國內募集,投資國內外",開放,高收債--全球,債券,
T1665C 群益全優高債NA,TW000T1665C2,72960111C,群益全球優先順位高收益債券證券投資信託基金－NA類型新臺幣（累積型）,NTD,群益證券投資信託,Current,2018/04/30,,"國內募集,投資國內外",開放,高收債--全球,債券,
T1665D 群益全優高債NB,TW000T1665D0,72960111D,群益全球優先順位高收益債券證券投資信託基金－NB類型新臺幣（月配型）,NTD,群益證券投資信託,Current,2018/04/30,,"國內募集,投資國內外",開放,高收債--全球,債券,
T1665E 群益全優高債A$,TW000T1665E8,72960111E,群益全球優先順位高收益債券證券投資信託基金－ A類型美元（累積型）,USD,群益證券投資信託,Current,2018/04/30,,"國內募集,投資國內外",開放,高收債--全球,債券,
T1665F 群益全優高債B$,TW000T1665F5,72960111F,群益全球優先順位高收益債券證券投資信託基金－ B類型美元（月配型）,USD,群益證券投資信託,Current,2018/04/30,,"國內募集,投資國內外",開放,高收債--全球,債券,
T1665G 群益全優高債NA$,TW000T1665G3,72960111G,群益全球優先順位高收益債券證券投資信託基金－NA類型美元（累積型）,USD,群益證券投資信託,Current,2018/04/30,,"國內募集,投資國內外",開放,高收債--全球,債券,
T1665H 群益全優高債NB$,TW000T1665H1,72960111H,群益全球優先順位高收益債券證券投資信託基金－NB類型美元（月配型）,USD,群益證券投資信託,Current,2018/04/30,,"國內募集,投資國內外",開放,高收債--全球,債券,
T1665J 群益全優高債AC,TW000T1665J7,72960111I,群益全球優先順位高收益債券證券投資信託基金－ A類型人民幣（累積型）,RMB,群益證券投資信託,Current,2018/04/30,,"國內募集,投資國內外",開放,高收債--全球,債券,
T1665K 群益全優高債BC,TW000T1665K5,72960111J,群益全球優先順位高收益債券證券投資信託基金－ B類型人民幣（月配型）,RMB,群益證券投資信託,Current,2018/04/30,,"國內募集,投資國內外",開放,高收債--全球,債券,
T1665L 群益全優高債NAC,TW000T1665L3,72960111K,群益全球優先順位高收益債券證券投資信託基金－NA類型人民幣（累積型）,RMB,群益證券投資信託,Current,2018/04/30,,"國內募集,投資國內外",開放,高收債--全球,債券,
T1665M 群益全優高債NBC,TW000T1665M1,72960111L,群益全球優先順位高收益債券證券投資信託基金－NB類型人民幣（月配型）,RMB,群益證券投資信託,Current,2018/04/30,,"國內募集,投資國內外",開放,高收債--全球,債券,
T1667Y 群益2028美元保本,TW000T1667Y2,73659017,群益2028 REVERSO美元保本證券投資信託基金,USD,群益證券投資信託,Current,2018/11/16,,"國內募集,投資國內外",開放,保本型,保本型,
T1668A 群益潛多重Aa,TW000T1668A0,73709234A,群益多元收益傘型證券投資信託基金－群益潛力收益多重資產證券投資信託基金 A類型新臺幣,NTD,群益證券投資信託,Current,2018/12/05,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T1668B 群益潛多重Bd,TW000T1668B8,73709234B,群益多元收益傘型證券投資信託基金－群益潛力收益多重資產證券投資信託基金 B類型新臺幣,NTD,群益證券投資信託,Current,2018/12/05,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T1668C 群益潛多重NAa,TW000T1668C6,73709234C,群益多元收益傘型證券投資信託基金－群益潛力收益多重資產證券投資信託基金NA類型新臺幣,NTD,群益證券投資信託,Current,2018/12/05,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T1668D 群益潛多重NBd,TW000T1668D4,73709234D,群益多元收益傘型證券投資信託基金－群益潛力收益多重資產證券投資信託基金NB類型新臺幣,NTD,群益證券投資信託,Current,2018/12/05,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T1668E 群益潛多重Aa$,TW000T1668E2,73709234E,群益多元收益傘型證券投資信託基金－群益潛力收益多重資產證券投資信託基金 A類型美元,USD,群益證券投資信託,Current,2018/12/05,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T1668F 群益潛多重Bd$,TW000T1668F9,73709234F,群益多元收益傘型證券投資信託基金－群益潛力收益多重資產證券投資信託基金 B類型美元,USD,群益證券投資信託,Current,2018/12/05,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T1668G 群益潛多重NAa$,TW000T1668G7,73709234G,群益多元收益傘型證券投資信託基金－群益潛力收益多重資產證券投資信託基金NA類型美元,USD,群益證券投資信託,Current,2018/12/05,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T1668H 群益潛多重NBd$,TW000T1668H5,73709234H,群益多元收益傘型證券投資信託基金－群益潛力收益多重資產證券投資信託基金NB類型美元,USD,群益證券投資信託,Current,2018/12/05,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T1668J 群益潛多重AaC,TW000T1668J1,73709234I,群益多元收益傘型證券投資信託基金－群益潛力收益多重資產證券投資信託基金 A類型人民幣,RMB,群益證券投資信託,Current,2018/12/05,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T1668K 群益潛多重BdC,TW000T1668K9,73709234J,群益多元收益傘型證券投資信託基金－群益潛力收益多重資產證券投資信託基金 B類型人民幣,RMB,群益證券投資信託,Current,2018/12/05,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T1668L 群益潛多重NAaC,TW000T1668L7,73709234K,群益多元收益傘型證券投資信託基金－群益潛力收益多重資產證券投資信託基金NA類型人民幣,RMB,群益證券投資信託,Current,2018/12/05,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T1668M 群益潛多重NBdC,TW000T1668M5,73709234L,群益多元收益傘型證券投資信託基金－群益潛力收益多重資產證券投資信託基金NB類型人民幣,RMB,群益證券投資信託,Current,2018/12/05,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T1701Y 德信大發,TW000T1701Y9,97972846,大發證券投資信託基金,NTD,德信證券投資信託,Current,1996/07/19,,"國內募集,投資國內",開放,開放式一般型,股票,
T1706Y 德信數位時代,TW000T1706Y8,18033138,德信數位時代證券投資信託基金,NTD,德信證券投資信託,Current,2000/08/18,,"國內募集,投資國內",開放,開放式科技類,科技股,
T1708Y 德信萬保貨幣市場,TW000T1708Y4,14290085,德信萬保貨幣市場證券投資信託基金,NTD,德信證券投資信託,Current,2002/01/18,,"國內募集,投資國內",開放,國內貨幣市場,貨幣,
T1711Y 德信萬瑞,TW000T1711Y8,99636428,德信萬瑞證券投資信託基金,NTD,德信證券投資信託,Current,2004/07/29,2019/03/25,"國內募集,投資國內外",開放,投資債--全球,債券,被併入 T1712Y  德信中國精選成長
T1712Y 德信中國精選成長,TW000T1712Y6,25689835,德信中國精選成長證券投資信託基金,NTD,德信證券投資信託,Current,2010/07/12,,"國內募集,投資國內外",開放,跨國--大中華區,股票,
T1713Y 德信台灣主流中小,TW000T1713Y4,26288534,德信台灣主流中小證券信託基金,NTD,德信證券投資信託,Current,2011/03/02,,"國內募集,投資國內",開放,開放式中小型,小型股,
T1715Y 德信新興股票組合,TW000T1715Y9,31896050,德信新興股票組合證券投資信託基金,NTD,德信證券投資信託,Current,2012/12/05,2019/03/25,"國內募集,投資國內外",開放,跨國股組合--新興,基金,被併入 T1712Y  德信中國精選成長
T1802Y 聯博大利,TW000T1802Y5,97997635,聯博大利證券投資信託基金,NTD,聯博證券投資信託,Current,1997/01/08,,"國內募集,投資國內",開放,開放式一般型,股票,
T1803Y 聯博貨幣市場,TW000T1803Y3,97998424,聯博貨幣市場證券投資信託基金,NTD,聯博證券投資信託,Current,1997/02/13,,"國內募集,投資國內",開放,國內貨幣市場,貨幣,
T1808A 聯博亞太地產 A,TW000T1808A2,48719071A,聯博亞太地產證券投資信託基金－不配息,NTD,聯博證券投資信託,Current,2006/08/25,2017/03/17,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,清算
T1808B 聯博亞太地產 B,TW000T1808B0,48719071B,聯博亞太地產證券投資信託基金－配息,NTD,聯博證券投資信託,Current,2006/03/24,2017/03/17,"國內募集,投資國內外",開放,不動產證券化,不動產證券化,清算
T1809A 聯博新市企業債A2,TW000T1809A0,31936709A,聯博新興市場企業債券證券投資信託基金－A2類型(新臺幣),NTD,聯博證券投資信託,Current,2013/05/16,,"國內募集,投資國內外",開放,投資債--全球新興,債券,
T1809B 聯博新市企業債AA,TW000T1809B8,31936709B,聯博新興市場企業債券證券投資信託基金－AA類型(新臺幣),NTD,聯博證券投資信託,Current,2013/05/16,,"國內募集,投資國內外",開放,投資債--全球新興,債券,
T1809C 聯博新企業債 A2$,TW000T1809C6,31936709C,聯博新興市場企業債券證券投資信託基金－A2類型(美元),USD,聯博證券投資信託,Current,2015/04/10,,"國內募集,投資國內外",開放,投資債--全球新興,債券,
T1809D 聯博新企業債 AA$,TW000T1809D4,31936709D,聯博新興市場企業債券證券投資信託基金－AA類型(美元),USD,聯博證券投資信託,Current,2015/04/10,,"國內募集,投資國內外",開放,投資債--全球新興,債券,
T1810A 聯博債券收益－A2,TW000T1810A8,38522107A,聯博收益傘型證券投資信託基金之聯博債券收益組合證券投資信託基金－A2類型,NTD,聯博證券投資信託,Current,2014/03/19,,"國內募集,投資國內外",開放,債券組合--投資級,基金,
T1810B 聯博債券收益－AA,TW000T1810B6,38522107B,聯博收益傘型證券投資信託基金之聯博債券收益組合證券投資信託基金－AA類型,NTD,聯博證券投資信託,Current,2014/03/19,,"國內募集,投資國內外",開放,債券組合--投資級,基金,
T1810C 聯博債券收益A2 $,TW000T1810C4,38522107H,聯博收益傘型證券投資信託基金之聯博債券收益組合證券投資信託基金－A2類型美元計價,USD,聯博證券投資信託,Current,2016/01/29,,"國內募集,投資國內外",開放,債券組合--投資級,基金,
T1810D 聯博債券收益AA $,TW000T1810D2,38522107D,聯博收益傘型證券投資信託基金之聯博債券收益組合證券投資信託基金－AA類型美元計價,USD,聯博證券投資信託,Current,2015/01/12,,"國內募集,投資國內外",開放,債券組合--投資級,基金,
T1810E 聯博債券收益A2 C,TW000T1810E0,38522107E,聯博收益傘型證券投資信託基金之聯博債券收益組合證券投資信託基金－A2類型人民幣計價,RMB,聯博證券投資信託,Current,2015/01/23,,"國內募集,投資國內外",開放,債券組合--投資級,基金,
T1810F 聯博債券收益AA C,TW000T1810F7,38522107C,聯博收益傘型證券投資信託基金之聯博債券收益組合證券投資信託基金－AA類型人民幣計價,RMB,聯博證券投資信託,Current,2015/01/09,,"國內募集,投資國內外",開放,債券組合--投資級,基金,
T1810G 聯博債券收益AA A,TW000T1810G5,38522107F,聯博收益傘型證券投資信託基金之聯博債券收益組合證券投資信託基金－AA類型澳幣計價,AUD,聯博證券投資信託,Current,2015/03/10,,"國內募集,投資國內外",開放,債券組合--投資級,基金,
T1810H 聯博債券收益AA Z,TW000T1810H3,38522107G,聯博收益傘型證券投資信託基金之聯博債券收益組合證券投資信託基金－AA類型南非幣計價,RAND,聯博證券投資信託,Current,2015/03/11,,"國內募集,投資國內外",開放,債券組合--投資級,基金,
T1811A 聯博多元資收－A2,TW000T1811A6,38522113A,聯博收益傘型證券投資信託基金之聯博多元資產收益組合證券投資信託基金－A2類型,NTD,聯博證券投資信託,Current,2014/03/19,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T1811B 聯博多元資收－AD,TW000T1811B4,38522113B,聯博收益傘型證券投資信託基金之聯博多元資產收益組合證券投資信託基金－AD類型,NTD,聯博證券投資信託,Current,2014/03/19,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T1811C 聯博多元資收A2 $,TW000T1811C2,38522113F,聯博收益傘型證券投資信託基金之聯博多元資產收益組合證券投資信託基金－A2類型美元計價,USD,聯博證券投資信託,Current,2015/01/14,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T1811D 聯博多元資收AD $,TW000T1811D0,38522113E,聯博收益傘型證券投資信託基金之聯博多元資產收益組合證券投資信託基金－AD類型美元計價,USD,聯博證券投資信託,Current,2015/01/13,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T1811E 聯博多元資收A2 C,TW000T1811E8,38522113C,聯博收益傘型證券投資信託基金之聯博多元資產收益組合證券投資信託基金－A2類型人民幣計價,RMB,聯博證券投資信託,Current,2015/01/07,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T1811F 聯博多元資收AD C,TW000T1811F5,38522113D,聯博收益傘型證券投資信託基金之聯博多元資產收益組合證券投資信託基金－AD類型人民幣計價,RMB,聯博證券投資信託,Current,2015/01/12,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T1811G 聯博多元資收AD A,TW000T1811G3,38522113G,聯博收益傘型證券投資信託基金之聯博多元資產收益組合證券投資信託基金－AD類型澳幣計價,AUD,聯博證券投資信託,Current,2015/01/14,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T1811H 聯博多元資收AD Z,TW000T1811H1,38522113H,聯博收益傘型證券投資信託基金之聯博多元資產收益組合證券投資信託基金－AD類型南非幣計價,RAND,聯博證券投資信託,Current,2015/01/26,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
