Date,Nav,Mid Bid/Ask,P/D to NAV,P/D Indicator
08/22/2018,40.2197,40.24,0.05%,Premium
08/21/2018,39.9938,40.0,0.02%,Premium
08/20/2018,40.0622,40.03,-0.08%,Discount
08/17/2018,40.1068,40.44,0.82%,Premium
08/16/2018,40.1168,40.12,0.01%,Premium
08/15/2018,40.1988,40.19,-0.02%,Discount
08/14/2018,40.1965,40.215,0.05%,Premium
08/13/2018,40.1838,40.2,0.04%,Premium
08/10/2018,40.2081,40.21,0.01%,Premium
08/09/2018,39.9533,39.955,0.00%,Premium
08/08/2018,39.9192,39.92,0.00%,Premium
08/07/2018,40.1707,40.17,0.00%,Discount
08/06/2018,40.1552,40.175,0.05%,Premium
08/03/2018,39.9767,39.985,0.02%,Premium
08/02/2018,40.123,40.155,0.08%,Premium
08/01/2018,39.9398,39.945,0.01%,Premium
07/31/2018,39.8894,39.895,0.01%,Premium
07/30/2018,40.0706,40.06,-0.03%,Discount
07/27/2018,40.0609,40.08,0.05%,Premium
07/26/2018,40.1449,40.165,0.05%,Premium
07/25/2018,39.9672,39.94,-0.07%,Discount
07/24/2018,39.9637,39.925,-0.10%,Discount
07/23/2018,39.9576,39.93,-0.07%,Discount
07/20/2018,39.9203,39.91,-0.03%,Discount
07/19/2018,40.0802,40.09,0.02%,Premium
07/18/2018,40.0273,40.01,-0.04%,Discount
07/17/2018,40.0026,39.98,-0.06%,Discount
07/16/2018,39.8905,39.87,-0.05%,Discount
07/13/2018,40.202,40.165,-0.09%,Discount
07/12/2018,40.0712,40.065,-0.02%,Discount
07/11/2018,40.0078,40.04,0.08%,Premium
07/10/2018,40.0207,40.045,0.06%,Premium
07/09/2018,39.8797,39.755,-0.31%,Discount
07/06/2018,39.7369,39.74,0.01%,Premium
07/05/2018,39.9118,39.905,-0.02%,Discount
07/03/2018,39.8765,39.83,-0.12%,Discount
07/02/2018,39.9638,39.94,-0.06%,Discount
06/29/2018,39.8467,39.84,-0.02%,Discount
06/28/2018,39.867,39.835,-0.08%,Discount
06/27/2018,39.8574,39.845,-0.03%,Discount
06/26/2018,39.6565,39.635,-0.05%,Discount
06/25/2018,39.529,39.525,-0.01%,Discount
06/22/2018,39.5642,39.565,0.00%,Premium
06/21/2018,39.3686,39.385,0.04%,Premium
06/20/2018,39.4461,39.405,-0.10%,Discount
06/19/2018,39.44,39.51,0.18%,Premium
06/18/2018,39.567,39.585,0.05%,Premium
06/15/2018,39.4918,39.525,0.08%,Premium
06/14/2018,39.7274,39.73,0.01%,Premium
06/13/2018,39.7249,39.69,-0.09%,Discount
06/12/2018,39.6758,39.64,-0.09%,Discount
06/11/2018,39.6053,39.615,0.03%,Premium
06/08/2018,39.6514,39.635,-0.04%,Discount
06/07/2018,39.7131,39.72,0.02%,Premium
06/06/2018,39.5587,39.61,0.13%,Premium
06/05/2018,39.657,39.625,-0.08%,Discount
06/04/2018,39.7352,39.77,0.09%,Premium
06/01/2018,39.8977,39.89,-0.02%,Discount
05/31/2018,39.9383,39.895,-0.11%,Discount
05/30/2018,40.0314,40.005,-0.07%,Discount
05/29/2018,40.0284,39.995,-0.08%,Discount
05/25/2018,40.0994,40.035,-0.16%,Discount
05/24/2018,40.2319,40.215,-0.04%,Discount
05/23/2018,40.3561,40.31,-0.11%,Discount
05/22/2018,40.3254,40.315,-0.03%,Discount
05/21/2018,40.3553,40.325,-0.08%,Discount
05/18/2018,40.3357,40.33,-0.01%,Discount
05/17/2018,40.279,40.27,-0.02%,Discount
05/16/2018,40.3089,40.285,-0.06%,Discount
05/15/2018,40.3051,40.245,-0.15%,Discount
05/14/2018,40.1522,40.19,0.09%,Premium
05/11/2018,39.9862,39.95,-0.09%,Discount
05/10/2018,40.0501,40.015,-0.09%,Discount
05/09/2018,40.1439,40.125,-0.05%,Discount
05/08/2018,39.9316,39.935,0.01%,Premium
05/07/2018,39.9894,39.92,-0.17%,Discount
05/04/2018,39.9241,39.9,-0.06%,Discount
05/03/2018,39.7567,39.735,-0.06%,Discount
05/02/2018,39.7633,39.735,-0.07%,Discount
05/01/2018,39.7904,39.8,0.02%,Premium
04/30/2018,39.8525,39.79,-0.16%,Discount
04/27/2018,39.8558,39.8,-0.14%,Discount
04/26/2018,39.9274,39.875,-0.13%,Discount
04/25/2018,39.9274,39.855,-0.18%,Discount
04/24/2018,39.7932,39.77,-0.06%,Discount
04/23/2018,39.9356,39.91,-0.06%,Discount
04/20/2018,39.9262,39.88,-0.12%,Discount
04/19/2018,39.9152,39.87,-0.11%,Discount
04/18/2018,39.8741,39.855,-0.05%,Discount
04/17/2018,39.7878,39.75,-0.10%,Discount
04/16/2018,39.8389,39.835,-0.01%,Discount
04/13/2018,39.8897,39.825,-0.16%,Discount
04/12/2018,39.8621,39.835,-0.07%,Discount
04/11/2018,39.893,39.855,-0.10%,Discount
04/10/2018,39.8101,39.79,-0.05%,Discount
04/09/2018,39.5657,39.56,-0.01%,Discount
04/06/2018,39.4325,39.415,-0.04%,Discount
04/05/2018,39.4622,39.455,-0.02%,Discount
04/04/2018,39.4005,39.415,0.04%,Premium
04/03/2018,39.5941,39.605,0.03%,Premium
04/02/2018,39.4555,39.54,0.21%,Premium
03/29/2018,39.6292,39.59,-0.10%,Discount
03/28/2018,39.5385,39.5,-0.10%,Discount
03/27/2018,39.6308,39.6,-0.08%,Discount
03/26/2018,39.6786,39.67,-0.02%,Discount
03/23/2018,39.7649,39.74,-0.06%,Discount
03/22/2018,39.6324,39.605,-0.07%,Discount
03/21/2018,39.6958,39.725,0.07%,Premium
03/20/2018,39.5173,39.485,-0.08%,Discount
03/19/2018,39.4039,39.38,-0.06%,Discount
03/16/2018,39.5822,39.495,-0.22%,Discount
03/15/2018,39.5281,39.48,-0.12%,Discount
03/14/2018,39.533,39.475,-0.15%,Discount
03/13/2018,39.4771,39.475,-0.01%,Discount
03/12/2018,39.5364,39.52,-0.04%,Discount
03/09/2018,39.6012,39.575,-0.07%,Discount
03/08/2018,39.4729,39.47,-0.01%,Discount
03/07/2018,39.58,39.59,0.03%,Premium
03/06/2018,39.6845,39.675,-0.02%,Discount
03/05/2018,39.7273,39.655,-0.18%,Discount
03/02/2018,39.5396,39.54,0.00%,Premium
03/01/2018,39.4329,39.47,0.09%,Premium
02/28/2018,39.5732,39.535,-0.10%,Discount
02/27/2018,39.8731,39.82,-0.13%,Discount
02/26/2018,40.0433,40.01,-0.08%,Discount
02/23/2018,40.0325,39.99,-0.11%,Discount
02/22/2018,39.9612,39.915,-0.12%,Discount
02/21/2018,39.894,39.78,-0.29%,Discount
02/20/2018,39.871,39.82,-0.13%,Discount
02/16/2018,39.9476,39.88,-0.17%,Discount
02/15/2018,39.8689,39.875,0.02%,Premium
02/14/2018,39.771,39.75,-0.05%,Discount
02/13/2018,39.4452,39.43,-0.04%,Discount
02/12/2018,39.3728,39.38,0.02%,Premium
02/09/2018,39.3309,39.355,0.06%,Premium
02/08/2018,39.5509,39.505,-0.12%,Discount
02/07/2018,39.5657,39.59,0.06%,Premium
02/06/2018,39.8797,39.885,0.01%,Premium
02/05/2018,40.1516,40.11,-0.10%,Discount
02/02/2018,40.2977,40.245,-0.13%,Discount
02/01/2018,40.5039,40.56,0.14%,Premium
01/31/2018,40.2897,40.25,-0.10%,Discount
01/30/2018,40.2579,40.205,-0.13%,Discount
01/29/2018,40.4188,40.375,-0.11%,Discount
01/26/2018,40.5609,40.525,-0.09%,Discount
01/25/2018,40.5158,40.505,-0.03%,Discount
01/24/2018,40.6152,40.605,-0.03%,Discount
01/23/2018,40.5363,40.555,0.05%,Premium
01/22/2018,40.4756,40.475,0.00%,Discount
01/19/2018,40.4313,40.405,-0.07%,Discount
01/18/2018,40.5058,40.47,-0.09%,Discount
01/17/2018,40.4242,40.42,-0.01%,Discount
01/16/2018,40.4078,40.38,-0.07%,Discount
01/12/2018,40.4316,40.415,-0.04%,Discount
01/11/2018,40.3561,40.395,0.10%,Premium
01/10/2018,40.192,40.19,-0.01%,Discount
01/09/2018,40.1249,40.13,0.01%,Premium
01/08/2018,40.0399,40.15,0.27%,Premium
01/05/2018,39.9794,40.085,0.26%,Premium
01/04/2018,40.1132,40.225,0.28%,Premium
01/03/2018,40.0426,40.155,0.28%,Premium
01/02/2018,39.9007,39.93,0.07%,Premium
12/29/2017,40.0526,40.035,-0.04%,Discount
12/28/2017,40.0397,40.005,-0.09%,Discount
