Date,Nav,Mid Bid/Ask,P/D to NAV,P/D Indicator
03/27/2018,32.2196,32.225,0.02%,Premium
03/26/2018,32.4686,32.43,-0.12%,Discount
03/23/2018,32.1509,32.16,0.03%,Premium
03/22/2018,32.4738,32.51,0.11%,Premium
03/21/2018,32.8095,32.815,0.02%,Premium
03/20/2018,32.8291,32.84,0.03%,Premium
03/19/2018,32.7423,32.715,-0.08%,Discount
03/16/2018,32.9404,32.965,0.08%,Premium
03/15/2018,32.8042,32.83,0.08%,Premium
03/14/2018,32.8227,32.82,-0.01%,Discount
03/13/2018,32.9264,32.935,0.03%,Premium
03/12/2018,32.9653,33.0,0.11%,Premium
03/09/2018,32.9746,32.98,0.02%,Premium
03/08/2018,32.7917,32.795,0.01%,Premium
03/07/2018,32.8628,32.86,-0.01%,Discount
03/06/2018,32.7327,32.75,0.05%,Premium
03/05/2018,32.4552,32.485,0.09%,Premium
03/02/2018,32.3144,32.345,0.09%,Premium
03/01/2018,31.9656,31.965,0.00%,Discount
02/28/2018,32.2424,32.31,0.21%,Premium
02/27/2018,32.5585,32.6,0.13%,Premium
02/26/2018,32.8698,32.855,-0.05%,Discount
02/23/2018,32.6117,32.59,-0.07%,Discount
02/22/2018,32.2201,32.2,-0.06%,Discount
02/21/2018,32.2321,32.265,0.10%,Premium
02/20/2018,32.4134,32.43,0.05%,Premium
02/16/2018,32.734,32.78,0.14%,Premium
02/15/2018,32.8324,32.8,-0.10%,Discount
02/14/2018,32.5124,32.53,0.05%,Premium
02/13/2018,31.9108,31.92,0.03%,Premium
02/12/2018,31.8297,31.825,-0.02%,Discount
02/09/2018,31.5315,31.515,-0.05%,Discount
02/08/2018,31.0656,31.17,0.34%,Premium
02/07/2018,32.2867,32.36,0.23%,Premium
02/06/2018,32.3902,32.35,-0.12%,Discount
02/05/2018,31.8867,31.96,0.23%,Premium
02/02/2018,33.0609,33.105,0.13%,Premium
02/01/2018,33.8432,33.825,-0.05%,Discount
01/31/2018,33.8092,33.83,0.06%,Premium
01/30/2018,33.9282,33.995,0.20%,Premium
01/29/2018,34.339,34.42,0.24%,Premium
01/26/2018,34.5009,34.505,0.01%,Premium
01/25/2018,34.1318,34.13,-0.01%,Discount
01/24/2018,34.1213,34.155,0.10%,Premium
01/23/2018,34.3072,34.33,0.07%,Premium
01/22/2018,34.2246,34.235,0.03%,Premium
01/19/2018,34.0591,34.055,-0.01%,Discount
01/18/2018,33.7629,33.79,0.08%,Premium
01/17/2018,33.8613,33.88,0.06%,Premium
01/16/2018,33.5128,33.535,0.07%,Premium
01/12/2018,33.6332,33.65,0.05%,Premium
01/11/2018,33.4444,33.46,0.05%,Premium
01/10/2018,33.0908,33.12,0.09%,Premium
01/09/2018,33.2255,33.28,0.16%,Premium
01/08/2018,33.261,33.28,0.06%,Premium
01/05/2018,33.2097,33.21,0.00%,Premium
01/04/2018,33.0687,33.1,0.09%,Premium
01/03/2018,32.9564,32.98,0.07%,Premium
01/02/2018,32.799,32.795,-0.01%,Discount
12/29/2017,32.5017,32.55,0.15%,Premium
12/28/2017,32.7117,32.725,0.04%,Premium
12/27/2017,32.6208,32.63,0.03%,Premium
12/26/2017,32.5452,32.545,0.00%,Discount
12/22/2017,32.869,32.885,0.05%,Premium
12/21/2017,32.7893,32.81,0.06%,Premium
12/20/2017,32.7734,32.815,0.13%,Premium
12/19/2017,32.8615,32.905,0.13%,Premium
12/18/2017,32.9484,32.955,0.02%,Premium
12/15/2017,32.6387,32.645,0.02%,Premium
12/14/2017,32.2615,32.26,-0.01%,Discount
12/13/2017,32.4823,32.5,0.06%,Premium
12/12/2017,32.4065,32.415,0.03%,Premium
12/11/2017,32.402,32.385,-0.05%,Discount
12/08/2017,32.4247,32.41,-0.05%,Discount
12/07/2017,32.3196,32.295,-0.08%,Discount
12/06/2017,32.1737,32.18,0.02%,Premium
12/05/2017,32.1563,32.175,0.06%,Premium
12/04/2017,32.3492,32.365,0.05%,Premium
12/01/2017,32.2827,32.275,-0.02%,Discount
11/30/2017,32.3825,32.42,0.12%,Premium
11/29/2017,32.1509,32.17,0.06%,Premium
11/28/2017,32.0446,32.06,0.05%,Premium
11/27/2017,31.7139,31.76,0.15%,Premium
11/24/2017,31.8086,31.82,0.04%,Premium
11/22/2017,31.7574,31.795,0.12%,Premium
11/21/2017,31.7708,31.765,-0.02%,Discount
11/20/2017,31.6584,31.655,-0.01%,Discount
11/17/2017,31.5742,31.585,0.03%,Premium
11/16/2017,31.5528,31.565,0.04%,Premium
11/15/2017,31.1714,31.165,-0.02%,Discount
11/14/2017,31.3758,31.375,0.00%,Discount
11/13/2017,31.454,31.455,0.00%,Premium
11/10/2017,31.3983,31.415,0.05%,Premium
11/09/2017,31.3841,31.41,0.08%,Premium
11/08/2017,31.4892,31.5,0.03%,Premium
11/07/2017,31.3365,31.345,0.03%,Premium
11/06/2017,31.2613,31.27,0.03%,Premium
11/03/2017,31.0687,31.07,0.00%,Premium
11/02/2017,30.9763,30.975,0.00%,Discount
11/01/2017,31.0187,31.02,0.00%,Premium
10/31/2017,31.1219,31.125,0.01%,Premium
10/30/2017,31.0625,31.08,0.06%,Premium
10/27/2017,31.2761,31.265,-0.04%,Discount
10/26/2017,31.055,31.065,0.03%,Premium
10/25/2017,30.9327,30.935,0.01%,Premium
10/24/2017,31.1656,31.16,-0.02%,Discount
10/23/2017,31.1425,31.16,0.06%,Premium
10/20/2017,31.2888,31.295,0.02%,Premium
10/19/2017,31.1522,31.155,0.01%,Premium
10/18/2017,31.0763,31.095,0.06%,Premium
10/17/2017,30.9904,31.015,0.08%,Premium
10/16/2017,30.906,30.925,0.06%,Premium
10/13/2017,30.9604,30.985,0.08%,Premium
10/12/2017,30.9106,30.93,0.06%,Premium
10/11/2017,30.8992,30.905,0.02%,Premium
10/10/2017,30.8392,30.815,-0.08%,Discount
10/09/2017,30.7735,30.75,-0.08%,Discount
10/06/2017,30.8929,30.87,-0.07%,Discount
10/05/2017,30.9,30.89,-0.03%,Discount
10/04/2017,30.8671,30.905,0.12%,Premium
10/03/2017,30.9261,30.945,0.06%,Premium
10/02/2017,30.9115,30.915,0.01%,Premium
09/29/2017,30.8042,30.83,0.08%,Premium
09/28/2017,30.7228,30.725,0.01%,Premium
09/27/2017,30.6259,30.665,0.13%,Premium
09/26/2017,30.3521,30.355,0.01%,Premium
09/25/2017,30.276,30.27,-0.02%,Discount
09/22/2017,30.4003,30.4,0.00%,Discount
09/21/2017,30.2682,30.275,0.02%,Premium
09/20/2017,30.3698,30.37,0.00%,Premium
09/19/2017,30.325,30.325,0.00%,Premium
09/18/2017,30.3262,30.335,0.03%,Premium
09/15/2017,30.3161,30.33,0.05%,Premium
09/14/2017,30.2126,30.235,0.07%,Premium
09/13/2017,30.2375,30.265,0.09%,Premium
09/12/2017,30.2674,30.255,-0.04%,Discount
09/11/2017,30.1826,30.17,-0.04%,Discount
09/08/2017,29.8651,29.875,0.03%,Premium
09/07/2017,29.8163,29.82,0.01%,Premium
09/06/2017,29.8583,29.86,0.01%,Premium
09/05/2017,29.8071,29.815,0.03%,Premium
09/01/2017,30.082,30.09,0.03%,Premium
08/31/2017,29.9322,29.925,-0.02%,Discount
08/30/2017,29.7378,29.735,-0.01%,Discount
08/29/2017,29.5219,29.525,0.01%,Premium
08/28/2017,29.5444,29.535,-0.03%,Discount
08/25/2017,29.5688,29.575,0.02%,Premium
08/24/2017,29.4857,29.485,0.00%,Discount
08/23/2017,29.506,29.54,0.12%,Premium
08/22/2017,29.5941,29.59,-0.01%,Discount
08/21/2017,29.3047,29.315,0.04%,Premium
08/18/2017,29.3123,29.315,0.01%,Premium
